"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CUSCO (000)",496,495,1
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",373,373,
"Casa pensión (003)",15,15,
"Hospital, clinica (004)",12,12,
"Cárcel, centro de readaptación social (005)",2,2,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",20,20,
"Otro (008)",40,40,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",33,32,1
