"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ANTABAMBA (000)",3789,1666,2123
"Red pública de desague dentro de la vivienda (001)",226,206,20
"Red pública de desague fuera de la vivienda (002)",154,146,8
"Pozo séptico (003)",48,28,20
"Pozo ciego o negro / letrina (004)",399,149,250
"Río, acequia o canal (005)",116,87,29
"No tiene (006)",2846,1050,1796
,,,
"URBANA (008)",2522,1641,881
"Red pública de desague dentro de la vivienda (009)",224,205,19
"Red pública de desague fuera de la vivienda (010)",154,146,8
"Pozo séptico (011)",32,28,4
"Pozo ciego o negro / letrina (012)",193,146,47
"Río, acequia o canal (013)",105,87,18
"No tiene (014)",1814,1029,785
,,,
"RURAL (016)",1267,25,1242
"Red pública de desague dentro de la vivienda (017)",2,1,1
"Pozo séptico (019)",16,,16
"Pozo ciego o negro / letrina (020)",206,3,203
"Río, acequia o canal (021)",11,,11
"No tiene (022)",1032,21,1011
