"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PACHITEA (000)",59944,1258,24545,15465,9518,6314,2844
"Casa independiente (001)",56059,1163,22920,14368,8997,5945,2666
"Departamento en edificio (002)",52,1,18,13,12,5,3
"Vivienda en quinta (003)",75,1,25,22,14,8,5
"Vivienda en casa de vecindad (004)",161,2,68,49,21,17,4
"Choza o cabaña (005)",3579,91,1506,1007,471,338,166
"Local no destinado para hab.humana (007)",13,,7,3,2,1,
"Otro tipo (008)",5,,1,3,1,,
,,,,,,,
"URBANA (009)",8258,130,3023,2164,1590,974,377
"Casa independiente (010)",7968,126,2912,2078,1543,944,365
"Departamento en edificio (011)",52,1,18,13,12,5,3
"Vivienda en quinta (012)",75,1,25,22,14,8,5
"Vivienda en casa de vecindad (013)",161,2,68,49,21,17,4
"Local no destinado para hab.humana (016)",2,,,2,,,
,,,,,,,
"RURAL (018)",51686,1128,21522,13301,7928,5340,2467
"Casa independiente (019)",48091,1037,20008,12290,7454,5001,2301
"Choza o cabaña (023)",3579,91,1506,1007,471,338,166
"Local no destinado para hab.humana (025)",11,,7,1,2,1,
"Otro tipo (026)",5,,1,3,1,,
