"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia DOS DE MAYO (000)",39960,4609,806,21813,9497,944,1437,279,575
"Hombres (001)",19736,1193,405,10929,5461,508,706,181,353
"Mujeres (002)",20224,3416,401,10884,4036,436,731,98,222
"PEA (003)",12846,1278,19,6271,3255,305,1108,133,477
"Hombres (004)",9544,724,11,4895,2660,235,611,101,307
"Mujeres (005)",3302,554,8,1376,595,70,497,32,170
"Ocupada (006)",12132,1226,13,5984,3028,280,1017,126,458
"Hombres (007)",9014,692,9,4676,2473,215,560,96,293
"Mujeres (008)",3118,534,4,1308,555,65,457,30,165
"Desocupada (009)",714,52,6,287,227,25,91,7,19
"Hombres (010)",530,32,2,219,187,20,51,5,14
"Mujeres (011)",184,20,4,68,40,5,40,2,5
"No PEA (012)",27114,3331,787,15542,6242,639,329,146,98
"Hombres (013)",10192,469,394,6034,2801,273,95,80,46
"Mujeres (014)",16922,2862,393,9508,3441,366,234,66,52
,,,,,,,,,
"URBANA (018)",14213,951,257,6111,4309,663,1231,215,476
"Hombres (019)",6972,234,130,2911,2360,344,578,133,282
"Mujeres (020)",7241,717,127,3200,1949,319,653,82,194
"PEA (021)",4935,234,4,1515,1503,222,945,107,405
"Hombres (022)",3373,119,3,1108,1150,163,498,80,252
"Mujeres (023)",1562,115,1,407,353,59,447,27,153
"Ocupada (024)",4626,222,3,1434,1401,204,869,101,392
"Hombres (025)",3141,111,2,1039,1064,149,457,76,243
"Mujeres (026)",1485,111,1,395,337,55,412,25,149
"Desocupada (027)",309,12,1,81,102,18,76,6,13
"Hombres (028)",232,8,1,69,86,14,41,4,9
"Mujeres (029)",77,4,,12,16,4,35,2,4
"No PEA (030)",9278,717,253,4596,2806,441,286,108,71
"Hombres (031)",3599,115,127,1803,1210,181,80,53,30
"Mujeres (032)",5679,602,126,2793,1596,260,206,55,41
,,,,,,,,,
"RURAL (036)",25747,3658,549,15702,5188,281,206,64,99
"Hombres (037)",12764,959,275,8018,3101,164,128,48,71
"Mujeres (038)",12983,2699,274,7684,2087,117,78,16,28
"PEA (039)",7911,1044,15,4756,1752,83,163,26,72
"Hombres (040)",6171,605,8,3787,1510,72,113,21,55
"Mujeres (041)",1740,439,7,969,242,11,50,5,17
"Ocupada (042)",7506,1004,10,4550,1627,76,148,25,66
"Hombres (043)",5873,581,7,3637,1409,66,103,20,50
"Mujeres (044)",1633,423,3,913,218,10,45,5,16
"Desocupada (045)",405,40,5,206,125,7,15,1,6
"Hombres (046)",298,24,1,150,101,6,10,1,5
"Mujeres (047)",107,16,4,56,24,1,5,,1
"No PEA (048)",17836,2614,534,10946,3436,198,43,38,27
"Hombres (049)",6593,354,267,4231,1591,92,15,27,16
"Mujeres (050)",11243,2260,267,6715,1845,106,28,11,11
