"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia AZANGARO (000)",43712,642,13439,13920,11487,4224
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",86,,7,41,38,
"Profes., científicos e intelectuales (002)",2248,,318,1093,821,16
"Técnicos de nivel medio y trab.asimilados (003)",376,1,120,146,99,10
"Jefes y empleados de oficina (004)",604,,260,203,138,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2327,27,830,859,492,119
"Agricult.trabaj. calif. agrop. y pesqueros (006)",14021,36,2418,4399,4868,2300
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1832,22,848,585,314,63
"Obreros construc., conf., papel, fab., instr. (008)",1539,4,499,635,353,48
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",15230,493,5248,4431,3622,1436
"Otra (010)",80,,28,44,8,
"Ocupación no especificada (011)",687,1,255,192,156,83
"Desocupado (012)",4682,58,2608,1292,578,146
"Hombres (013)",26676,340,7853,8601,7206,2676
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",69,,5,28,36,
"Profes., científicos e intelectuales (015)",1629,,179,737,697,16
"Técnicos de nivel medio y trab.asimilados (016)",273,1,85,103,75,9
"Jefes y empleados de oficina (017)",391,,140,135,113,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",821,13,300,283,172,53
"Agricult.trabaj. calif. agrop. y pesqueros (019)",10074,22,1617,3223,3521,1691
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1436,10,697,454,237,38
"Obreros construc., conf., papel, fab., instr. (021)",1511,3,485,627,349,47
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",6567,258,2426,1818,1418,647
"Otra (023)",75,,24,43,8,
"Ocupación no especificada (024)",299,1,115,73,66,44
"Desocupado (025)",3531,32,1780,1077,514,128
"Mujeres (026)",17036,302,5586,5319,4281,1548
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",17,,2,13,2,
"Profes., científicos e intelectuales (028)",619,,139,356,124,
"Técnicos de nivel medio y trab.asimilados (029)",103,,35,43,24,1
"Jefes y empleados de oficina (030)",213,,120,68,25,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1506,14,530,576,320,66
"Agricult.trabaj. calif. agrop. y pesqueros (032)",3947,14,801,1176,1347,609
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",396,12,151,131,77,25
