"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SAN MARTIN (000)",35559,28820,6739
"Red pública dentro de la vivienda (001)",22495,21557,938
"Red pública fuera de la vivienda (002)",3122,2679,443
"Pilón de uso público (003)",1029,466,563
"Camión - cisterna u otro similar (004)",131,70,61
"Pozo (005)",976,307,669
"Río, acequia, manatial o similar (006)",5919,2704,3215
"Vecino (007)",879,462,417
"Otro (008)",1008,575,433
,,,
"URBANA (010)",32067,28288,3779
"Red pública dentro de la vivienda (011)",22268,21459,809
"Red pública fuera de la vivienda (012)",2872,2575,297
"Pilón de uso público (013)",916,428,488
"Camión - cisterna u otro similar (014)",105,58,47
"Pozo (015)",815,275,540
"Río, acequia, manatial o similar (016)",3403,2484,919
"Vecino (017)",793,451,342
"Otro (018)",895,558,337
,,,
"RURAL (020)",3492,532,2960
"Red pública dentro de la vivienda (021)",227,98,129
"Red pública fuera de la vivienda (022)",250,104,146
"Pilón de uso público (023)",113,38,75
"Camión - cisterna u otro similar (024)",26,12,14
"Pozo (025)",161,32,129
"Río, acequia, manatial o similar (026)",2516,220,2296
"Vecino (027)",86,11,75
"Otro (028)",113,17,96
