"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia RIOJA (000)",52027,26186,179,601,22328,843,81,128,14,1667
"Hombres (001)",18219,13176,113,342,2990,406,67,74,14,1037
"Mujeres (002)",33808,13010,66,259,19338,437,14,54,,630
"De 06 a 14 años (003)",22934,21047,,,899,478,,36,,474
"Hombres (004)",11400,10607,,,287,249,,17,,240
"Mujeres (005)",11534,10440,,,612,229,,19,,234
"De 15 a 29 años (006)",14591,4980,18,195,8807,,36,42,14,499
"Hombres (007)",4047,2487,9,94,1060,,31,29,14,323
"Mujeres (008)",10544,2493,9,101,7747,,5,13,,176
"De 30 a 44 años (009)",7486,120,10,148,6888,,30,18,,272
"Hombres (010)",1131,62,6,87,756,,25,11,,184
"Mujeres (011)",6355,58,4,61,6132,,5,7,,88
"De 45 a 64 años (012)",4693,35,69,145,4181,9,15,15,,224
"Hombres (013)",877,18,42,88,548,3,11,9,,158
"Mujeres (014)",3816,17,27,57,3633,6,4,6,,66
"De 65 y más años (015)",2323,4,82,113,1553,356,,17,,198
"Hombres (016)",764,2,56,73,339,154,,8,,132
"Mujeres (017)",1559,2,26,40,1214,202,,9,,66
,,,,,,,,,,
"AREA URBANA (018)",36589,18872,174,391,15300,524,56,73,13,1186
"Hombres (019)",12980,9328,110,193,2276,249,43,40,13,728
"Mujeres (020)",23609,9544,64,198,13024,275,13,33,,458
"De 06 a 14 años (021)",15836,14677,,,570,253,,20,,316
"Hombres (022)",7817,7300,,,199,135,,10,,173
"Mujeres (023)",8019,7377,,,371,118,,10,,143
"De 15 a 29 años (024)",10319,4067,18,112,5725,,18,25,13,341
"Hombres (025)",3039,1961,9,47,769,,14,17,13,209
"Mujeres (026)",7280,2106,9,65,4956,,4,8,,132
"De 30 a 44 años (027)",5374,97,9,93,4927,,26,8,,214
"Hombres (028)",863,51,5,48,597,,21,3,,138
"Mujeres (029)",4511,46,4,45,4330,,5,5,,76
"De 45 a 64 años (030)",3281,27,68,104,2893,4,12,9,,164
"Hombres (031)",666,14,41,53,430,1,8,6,,113
"Mujeres (032)",2615,13,27,51,2463,3,4,3,,51
"De 65 y más años (033)",1779,4,79,82,1185,267,,11,,151
"Hombres (034)",595,2,55,45,281,113,,4,,95
"Mujeres (035)",1184,2,24,37,904,154,,7,,56
,,,,,,,,,,
"AREA RURAL (036)",15438,7314,5,210,7028,319,25,55,1,481
"Hombres (037)",5239,3848,3,149,714,157,24,34,1,309
"Mujeres (038)",10199,3466,2,61,6314,162,1,21,,172
"De 06 a 14 años (039)",7098,6370,,,329,225,,16,,158
"Hombres (040)",3583,3307,,,88,114,,7,,67
"Mujeres (041)",3515,3063,,,241,111,,9,,91
"De 15 a 29 años (042)",4272,913,,83,3082,,18,17,1,158
"Hombres (043)",1008,526,,47,291,,17,12,1,114
"Mujeres (044)",3264,387,,36,2791,,1,5,,44
"De 30 a 44 años (045)",2112,23,1,55,1961,,4,10,,58
"Hombres (046)",268,11,1,39,159,,4,8,,46
"Mujeres (047)",1844,12,,16,1802,,,2,,12
"De 45 a 64 años (048)",1412,8,1,41,1288,5,3,6,,60
"Hombres (049)",211,4,1,35,118,2,3,3,,45
"Mujeres (050)",1201,4,,6,1170,3,,3,,15
"De 65 y más años (051)",544,,3,31,368,89,,6,,47
"Hombres (052)",169,,1,28,58,41,,4,,37
"Mujeres (053)",375,,2,3,310,48,,2,,10
