"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia LEONCIO PRADO",,,,,,,,
"Hogares (001)",30120,20336,13074,5737,1212,4996,2171,5277
"Ocupantes presentes (002)",114713,78807,53453,23575,4915,20913,8774,17933
"Casa independiente",,,,,,,,
"Hogares (004)",22523,14920,11341,5030,1060,4462,1830,3797
"Ocupantes presentes (005)",89295,60287,47610,21149,4357,18945,7734,13342
"Departamento en edificio",,,,,,,,
"Hogares (007)",592,365,480,245,75,224,159,40
"Ocupantes presentes (008)",1675,1045,1424,733,256,743,463,91
"Vivienda en quinta",,,,,,,,
"Hogares (010)",1204,692,804,285,61,221,140,179
"Ocupantes presentes (011)",3807,2283,2733,1017,229,850,432,464
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",395,226,253,79,15,57,31,65
"Ocupantes presentes (014)",1317,758,914,286,71,245,118,161
"Choza o cabaña",,,,,,,,
"Hogares (016)",5168,4021,135,75,1,16,4,1098
"Ocupantes presentes (017)",17728,14090,558,319,2,64,9,3431
"Vivienda improvisada",,,,,,,,
"Hogares (019)",173,63,39,14,,8,1,88
"Ocupantes presentes (020)",742,236,154,52,,41,6,415
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",38,27,21,9,,8,6,6
"Ocupantes presentes (023)",98,70,58,19,,25,12,18
"Otro tipo",,,,,,,,
"Hogares (025)",27,22,1,,,,,4
"Ocupantes presentes (026)",51,38,2,,,,,11
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",17078,10771,11718,5212,1194,4712,2145,2203
"Ocupantes presentes (029)",66676,42977,47529,21284,4842,19675,8671,7440
"Casa independiente",,,,,,,,
"Hogares (031)",14672,9398,10120,4580,1043,4194,1808,1822
"Ocupantes presentes (032)",59025,38585,42244,19177,4286,17771,7640,6281
"Departamento en edificio",,,,,,,,
"Hogares (034)",592,365,480,245,75,224,159,40
"Ocupantes presentes (035)",1675,1045,1424,733,256,743,463,91
"Vivienda en quinta",,,,,,,,
"Hogares (037)",1204,692,804,285,61,221,140,179
"Ocupantes presentes (038)",3807,2283,2733,1017,229,850,432,464
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",395,226,253,79,15,57,31,65
"Ocupantes presentes (041)",1317,758,914,286,71,245,118,161
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",173,63,39,14,,8,1,88
"Ocupantes presentes (047)",742,236,154,52,,41,6,415
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",37,26,21,9,,8,6,6
"Ocupantes presentes (050)",97,69,58,19,,25,12,18
"Otro tipo",,,,,,,,
"Hogares (052)",5,1,1,,,,,3
"Ocupantes presentes (053)",13,1,2,,,,,10
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",13042,9565,1356,525,18,284,26,3074
"Ocupantes presentes (056)",48037,35830,5924,2291,73,1238,103,10493
"Casa independiente",,,,,,,,
"Hogares (058)",7851,5522,1221,450,17,268,22,1975
"Ocupantes presentes (059)",30270,21702,5366,1972,71,1174,94,7061
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",5168,4021,135,75,1,16,4,1098
"Ocupantes presentes (071)",17728,14090,558,319,2,64,9,3431
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,1,,,,,,
"Ocupantes presentes (077)",1,1,,,,,,
"Otro tipo",,,,,,,,
"Hogares (079)",22,21,,,,,,1
"Ocupantes presentes (080)",38,37,,,,,,1
