"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHEPEN",,,,,,,,,
"Viviendas particulares (001)",1028,978,14,2,3,9,,16,6
"Ocupantes presentes (002)",4391,4197,62,4,18,31,,63,16
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1012,967,12,1,2,9,,16,5
"Ocupantes presentes (005)",4311,4130,57,3,14,31,,63,13
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",12,8,2,,1,,,,1
"Ocupantes presentes (011)",58,46,5,,4,,,,3
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",4,3,,1,,,,,
"Ocupantes presentes (014)",22,21,,1,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",837,815,13,2,3,,,,4
"Ocupantes presentes (029)",3607,3517,57,4,18,,,,11
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",821,804,11,1,2,,,,3
"Ocupantes presentes (032)",3527,3450,52,3,14,,,,8
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",12,8,2,,1,,,,1
"Ocupantes presentes (038)",58,46,5,,4,,,,3
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",4,3,,1,,,,,
"Ocupantes presentes (041)",22,21,,1,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",191,163,1,,,9,,16,2
"Ocupantes presentes (056)",784,680,5,,,31,,63,5
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",191,163,1,,,9,,16,2
"Ocupantes presentes (059)",784,680,5,,,31,,63,5
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
