"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia RECUAY",,,,,
"Viviendas particulares (001)",249,37,31,90,91
"Ocupantes presentes (002)",1014,135,124,336,419
"Casa independiente",,,,,
"Viviendas particulares (004)",244,34,31,89,90
"Ocupantes presentes (005)",995,123,124,333,415
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",2,2,,,
"Ocupantes presentes (011)",11,11,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",1,,,1,
"Ocupantes presentes (014)",3,,,3,
"Choza o cabaña",,,,,
"Viviendas particulares (016)",1,,,,1
"Ocupantes presentes (017)",4,,,,4
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",1,1,,,
"Ocupantes presentes (020)",1,1,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",182,32,21,67,62
"Ocupantes presentes (029)",729,105,86,241,297
"Casa independiente",,,,,
"Viviendas particulares (031)",178,29,21,66,62
"Ocupantes presentes (032)",714,93,86,238,297
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",2,2,,,
"Ocupantes presentes (038)",11,11,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",1,,,1,
"Ocupantes presentes (041)",3,,,3,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",1,1,,,
"Ocupantes presentes (047)",1,1,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",67,5,10,23,29
"Ocupantes presentes (056)",285,30,38,95,122
"Casa independiente",,,,,
"Viviendas particulares (058)",66,5,10,23,28
"Ocupantes presentes (059)",281,30,38,95,118
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",1,,,,1
"Ocupantes presentes (071)",4,,,,4
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
