"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JORGE BASADRE (000)",5016,3274,1742
"Casa independiente (001)",2177,1147,1030
"Departamento en edificio (002)",1919,1919,
"Vivienda en quinta (003)",25,25,
"Vivienda en casa de vecindad (004)",148,148,
"Choza o cabaña (005)",703,,703
"Vivienda improvisada (006)",26,26,
"Local no dest.para hab. humana (007)",16,8,8
"Otro tipo (008)",2,1,1
