"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia URUBAMBA (000)",53606,14939,5892,1946,30956
"Quechua (001)",27523,8780,1430,441,16909
"Aymara (002)",104,20,15,10,65
"Asháninka (003)",4,2,1,1,
"Otra lengua nativa (004)",9,2,1,1,5
"Castellano (005)",25075,6114,4433,1029,13583
"Idioma Extranjero (006)",823,3,9,464,347
"Es Sordomudo/a (007)",68,18,3,,47
"Hombres (009)",27246,7225,3180,1196,15734
"Quechua (010)",13932,4216,861,320,8563
"Aymara (011)",56,16,11,4,27
"Asháninka (012)",2,1,,1,
"Otra lengua nativa (013)",4,2,,,2
"Castellano (014)",12783,2983,2301,627,6931
"Idioma Extranjero (015)",435,,7,244,184
"Es Sordomudo/a (016)",34,7,,,27
"Mujeres (018)",26360,7714,2712,750,15222
"Quechua (019)",13591,4564,569,121,8346
"Aymara (020)",48,4,4,6,38
"Asháninka (021)",2,1,1,,
"Otra lengua nativa (022)",5,,1,1,3
"Castellano (023)",12292,3131,2132,402,6652
"Idioma Extranjero (024)",388,3,2,220,163
"Es Sordomudo/a (025)",34,11,3,,20
,,,,,
"URBANA (027)",26393,4074,4856,1647,15914
"Quechua (028)",8231,896,991,324,6045
"Aymara (029)",80,8,13,7,54
"Asháninka (030)",4,2,1,1,
"Otra lengua nativa (031)",9,2,1,1,5
"Castellano (032)",17260,3158,3840,873,9460
"Idioma Extranjero (033)",787,3,7,441,336
"Es Sordomudo/a (034)",22,5,3,,14
"Hombres (036)",13377,1931,2574,972,7969
"Quechua (037)",4261,415,583,228,3052
"Aymara (038)",41,6,10,2,23
"Asháninka (039)",2,1,,1,
"Otra lengua nativa (040)",4,2,,,2
"Castellano (041)",8649,1504,1976,515,4706
"Idioma Extranjero (042)",409,,5,226,178
"Es Sordomudo/a (043)",11,3,,,8
"Mujeres (045)",13016,2143,2282,675,7945
"Quechua (046)",3970,481,408,96,2993
"Aymara (047)",39,2,3,5,31
"Asháninka (048)",2,1,1,,
"Otra lengua nativa (049)",5,,1,1,3
"Castellano (050)",8611,1654,1864,358,4754
"Idioma Extranjero (051)",378,3,2,215,158
"Es Sordomudo/a (052)",11,2,3,,6
,,,,,
"RURAL (054)",27213,10865,1036,299,15042
"Quechua (055)",19292,7884,439,117,10864
"Aymara (056)",24,12,2,3,11
"Castellano (059)",7815,2956,593,156,4123
"Idioma Extranjero (060)",36,,2,23,11
"Es Sordomudo/a (061)",46,13,,,33
"Hombres (063)",13869,5294,606,224,7765
"Quechua (064)",9671,3801,278,92,5511
"Aymara (065)",15,10,1,2,4
"Castellano (068)",4134,1479,325,112,2225
"Idioma Extranjero (069)",26,,2,18,6
"Es Sordomudo/a (070)",23,4,,,19
"Mujeres (072)",13344,5571,430,75,7277
"Quechua (073)",9621,4083,161,25,5353
"Aymara (074)",9,2,1,1,7
"Castellano (077)",3681,1477,268,44,1898
"Idioma Extranjero (078)",10,,,5,5
"Es Sordomudo/a (079)",23,9,,,14
