"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TACNA (000)",249452,21509,46981,14049,167776
"Quechua (001)",6365,403,771,356,4847
"Aymara (002)",40756,2181,3199,1236,34188
"Asháninka (003)",74,11,4,8,54
"Otra lengua nativa (004)",264,17,62,25,163
"Castellano (005)",201750,18877,42906,12402,128362
"Idioma Extranjero (006)",109,,24,20,65
"Es Sordomudo/a (007)",134,20,15,2,97
"Hombres (009)",123473,9858,22579,8404,83136
"Quechua (010)",3023,145,424,270,2191
"Aymara (011)",19744,846,1785,874,16272
"Asháninka (012)",30,2,3,2,23
"Otra lengua nativa (013)",128,8,29,18,74
"Castellano (014)",100405,8845,20319,7228,64476
"Idioma Extranjero (015)",63,,13,11,39
"Es Sordomudo/a (016)",80,12,6,1,61
"Mujeres (018)",125979,11651,24402,5645,84640
"Quechua (019)",3342,258,347,86,2656
"Aymara (020)",21012,1335,1414,362,17916
"Asháninka (021)",44,9,1,6,31
"Otra lengua nativa (022)",136,9,33,7,89
"Castellano (023)",101345,10032,22587,5174,63886
"Idioma Extranjero (024)",46,,11,9,26
"Es Sordomudo/a (025)",54,8,9,1,36
,,,,,
"URBANA (027)",233402,19053,45683,13543,155978
"Quechua (028)",6014,372,739,313,4602
"Aymara (029)",36446,1799,2972,1168,30551
"Asháninka (030)",69,11,4,8,49
"Otra lengua nativa (031)",264,17,62,25,163
"Castellano (032)",190376,16837,41867,12007,120458
"Idioma Extranjero (033)",109,,24,20,65
"Es Sordomudo/a (034)",124,17,15,2,90
"Hombres (036)",114589,8682,21847,8034,76526
"Quechua (037)",2802,130,402,227,2050
"Aymara (038)",17345,671,1643,822,14239
"Asháninka (039)",30,2,3,2,23
"Otra lengua nativa (040)",128,8,29,18,74
"Castellano (041)",94149,7860,19751,6953,60047
"Idioma Extranjero (042)",63,,13,11,39
"Es Sordomudo/a (043)",72,11,6,1,54
"Mujeres (045)",118813,10371,23836,5509,79452
"Quechua (046)",3212,242,337,86,2552
"Aymara (047)",19101,1128,1329,346,16312
"Asháninka (048)",39,9,1,6,26
"Otra lengua nativa (049)",136,9,33,7,89
"Castellano (050)",96227,8977,22116,5054,60411
"Idioma Extranjero (051)",46,,11,9,26
"Es Sordomudo/a (052)",52,6,9,1,36
,,,,,
"RURAL (054)",16050,2456,1298,506,11798
"Quechua (055)",351,31,32,43,245
"Aymara (056)",4310,382,227,68,3637
"Asháninka (057)",5,,,,5
"Castellano (059)",11374,2040,1039,395,7904
"Es Sordomudo/a (061)",10,3,,,7
"Hombres (063)",8884,1176,732,370,6610
"Quechua (064)",221,15,22,43,141
"Aymara (065)",2399,175,142,52,2033
"Castellano (068)",6256,985,568,275,4429
"Es Sordomudo/a (070)",8,1,,,7
"Mujeres (072)",7166,1280,566,136,5188
"Quechua (073)",130,16,10,,104
"Aymara (074)",1911,207,85,16,1604
"Asháninka (075)",5,,,,5
"Castellano (077)",5118,1055,471,120,3475
"Es Sordomudo/a (079)",2,2,,,
