"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia CAJAMARCA",,,,,,,
"Hogares (001)",74443,3063,825,545,1193,1418,68006
"Ocupantes presentes (002)",308406,13152,3546,2681,5482,6624,279617
"Casa independiente",,,,,,,
"Hogares (004)",66736,2730,779,501,1125,1302,60868
"Ocupantes presentes (005)",281514,11916,3338,2497,5191,6151,254950
"Departamento en edificio",,,,,,,
"Hogares (007)",1819,128,10,7,10,24,1652
"Ocupantes presentes (008)",6113,498,68,30,41,97,5439
"Vivienda en quinta",,,,,,,
"Hogares (010)",3232,141,21,15,30,41,3002
"Ocupantes presentes (011)",10650,512,79,67,127,170,9776
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",1280,42,7,7,14,18,1198
"Ocupantes presentes (014)",4607,143,26,33,64,82,4280
"Choza o cabaña",,,,,,,
"Hogares (016)",1130,10,7,13,13,29,1059
"Ocupantes presentes (017)",4683,42,32,43,56,117,4396
"Vivienda improvisada",,,,,,,
"Hogares (019)",75,2,,2,,,71
"Ocupantes presentes (020)",314,11,,11,,,292
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",104,7,1,,1,4,92
"Ocupantes presentes (023)",321,25,3,,3,7,285
"Otro tipo",,,,,,,
"Hogares (025)",67,3,,,,,64
"Ocupantes presentes (026)",204,5,,,,,199
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",41643,2451,385,268,637,779,37477
"Ocupantes presentes (029)",170083,10702,1716,1330,2990,3812,151177
"Casa independiente",,,,,,,
"Hogares (031)",35081,2129,346,237,582,693,31411
"Ocupantes presentes (032)",147912,9510,1540,1189,2755,3457,130941
"Departamento en edificio",,,,,,,
"Hogares (034)",1819,128,10,7,10,24,1652
"Ocupantes presentes (035)",6113,498,68,30,41,97,5439
"Vivienda en quinta",,,,,,,
"Hogares (037)",3232,141,21,15,30,41,3002
"Ocupantes presentes (038)",10650,512,79,67,127,170,9776
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",1280,42,7,7,14,18,1198
"Ocupantes presentes (041)",4607,143,26,33,64,82,4280
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",75,2,,2,,,71
"Ocupantes presentes (047)",314,11,,11,,,292
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",90,6,1,,1,3,80
"Ocupantes presentes (050)",285,23,3,,3,6,252
"Otro tipo",,,,,,,
"Hogares (052)",66,3,,,,,63
"Ocupantes presentes (053)",202,5,,,,,197
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",32800,612,440,277,556,639,30529
"Ocupantes presentes (056)",138323,2450,1830,1351,2492,2812,128440
"Casa independiente",,,,,,,
"Hogares (058)",31655,601,433,264,543,609,29457
"Ocupantes presentes (059)",133602,2406,1798,1308,2436,2694,124009
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",1130,10,7,13,13,29,1059
"Ocupantes presentes (071)",4683,42,32,43,56,117,4396
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",14,1,,,,1,12
"Ocupantes presentes (077)",36,2,,,,1,33
"Otro tipo",,,,,,,
"Hogares (079)",1,,,,,,1
"Ocupantes presentes (080)",2,,,,,,2
