"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL CACERES (000)",20852,733,7117,7346,4701,955
"Agric., ganadería, caza y silvicultura (001)",11249,509,3760,3694,2607,679
"Pesca (002)",27,,11,7,8,1
"Explotación de minas y canteras (003)",6,,4,1,1,
"Industrias manufactureras (004)",823,24,267,287,208,37
"Suministro de electricidad, gas y agua (005)",27,,6,15,5,1
"Construcción (006)",475,8,144,177,129,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2280,71,686,836,579,108
"Venta, mant.y rep. veh.autom.y motoc. (008)",275,7,113,110,41,4
"Comercio al por mayor (009)",115,3,37,47,24,4
"Comercio al por menor (010)",1890,61,536,679,514,100
"Hoteles y restaurantes (011)",605,25,189,217,161,13
"Trans., almac. y comunicaciones (012)",1054,9,500,377,160,8
"Intermediación financiera (013)",34,,20,11,3,
"Activid.inmobil., empres. y alquileres (014)",329,1,140,124,63,1
"Admin.pub. y defensa; p. segur.soc afil (015)",511,,164,225,114,8
"Enseñanza (016)",1049,,207,624,217,1
"Servicios sociales y de salud (017)",222,,46,106,59,11
"Otras activ. serv.comun.soc y personales (018)",331,27,123,111,63,7
"Hogares privados con servicio doméstico (019)",832,39,390,248,133,22
"Actividad economica no especificada (021)",615,4,260,183,137,31
"Desocupado (022)",383,16,200,103,54,10
"Hombres (023)",15326,553,5219,5312,3471,771
"Agric., ganadería, caza y silvicultura (024)",9788,427,3299,3221,2235,606
"Pesca (025)",25,,11,6,8,
"Explotación de minas y canteras (026)",6,,4,1,1,
"Industrias manufactureras (027)",673,18,240,238,152,25
"Suministro de electricidad, gas y agua (028)",24,,6,12,5,1
"Construcción (029)",465,7,142,173,126,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1233,48,377,428,318,62
"Venta, mant.y rep. veh.autom.y motoc. (031)",233,7,96,92,34,4
"Comercio al por mayor (032)",67,1,25,23,16,2
"Comercio al por menor (033)",933,40,256,313,268,56
"Hoteles y restaurantes (034)",134,8,45,41,36,4
"Trans., almac. y comunicaciones (035)",981,8,442,365,158,8
"Intermediación financiera (036)",23,,10,10,3,
"Activid.inmobil., empres. y alquileres (037)",247,,97,90,59,1
"Admin.pub. y defensa; p. segur.soc afil (038)",362,,100,162,92,8
"Enseñanza (039)",504,,107,289,107,1
"Servicios sociales y de salud (040)",105,,17,55,27,6
