"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CARHUAZ (000)",888,23,450,257,133,25
"Sin nivel (001)",106,4,27,33,30,12
"Educación inicial (002)",2,,1,1,,
"Primaria (003)",388,15,166,127,69,11
"Secundaria (004)",289,4,190,68,25,2
"Superior no univ. incompleta (005)",14,,9,4,1,
"Superior no univ. completa (006)",51,,28,17,6,
"Superior univ. incompleta (007)",13,,10,3,,
"Superior univ. completa (008)",25,,19,4,2,
"Hombres (010)",713,17,343,212,119,22
"Sin nivel (011)",80,3,20,24,23,10
"Educación inicial (012)",2,,1,1,,
"Primaria (013)",319,10,123,113,63,10
"Secundaria (014)",253,4,164,58,25,2
"Superior no univ. incompleta (015)",10,,6,3,1,
"Superior no univ. completa (016)",29,,15,8,6,
"Superior univ. incompleta (017)",9,,6,3,,
"Superior univ. completa (018)",11,,8,2,1,
"Mujeres (020)",175,6,107,45,14,3
"Sin nivel (021)",26,1,7,9,7,2
"Primaria (023)",69,5,43,14,6,1
"Secundaria (024)",36,,26,10,,
"Superior no univ. incompleta (025)",4,,3,1,,
"Superior no univ. completa (026)",22,,13,9,,
"Superior univ. incompleta (027)",4,,4,,,
"Superior univ. completa (028)",14,,11,2,1,
,,,,,,
"Area Urbana (030)",295,1,136,94,52,12
"Sin nivel (031)",28,,5,7,12,4
"Educación inicial (032)",2,,1,1,,
"Primaria (033)",79,,26,26,21,6
"Secundaria (034)",117,1,63,38,13,2
"Superior no univ. incompleta (035)",7,,4,3,,
"Superior no univ. completa (036)",32,,15,13,4,
"Superior univ. incompleta (037)",11,,8,3,,
"Superior univ. completa (038)",19,,14,3,2,
"Hombres (040)",231,1,99,72,49,10
"Sin nivel (041)",19,,3,3,10,3
"Educación inicial (042)",2,,1,1,,
"Primaria (043)",69,,19,24,21,5
"Secundaria (044)",104,1,56,32,13,2
"Superior no univ. incompleta (045)",4,,2,2,,
"Superior no univ. completa (046)",18,,8,6,4,
"Superior univ. incompleta (047)",7,,4,3,,
"Superior univ. completa (048)",8,,6,1,1,
"Mujeres (050)",64,,37,22,3,2
"Sin nivel (051)",9,,2,4,2,1
"Primaria (053)",10,,7,2,,1
"Secundaria (054)",13,,7,6,,
"Superior no univ. incompleta (055)",3,,2,1,,
"Superior no univ. completa (056)",14,,7,7,,
"Superior univ. incompleta (057)",4,,4,,,
"Superior univ. completa (058)",11,,8,2,1,
,,,,,,
"Area Rural (060)",593,22,314,163,81,13
"Sin nivel (061)",78,4,22,26,18,8
"Primaria (063)",309,15,140,101,48,5
"Secundaria (064)",172,3,127,30,12,
"Superior no univ. incompleta (065)",7,,5,1,1,
"Superior no univ. completa (066)",19,,13,4,2,
"Superior univ. incompleta (067)",2,,2,,,
"Superior univ. completa (068)",6,,5,1,,
"Hombres (070)",482,16,244,140,70,12
"Sin nivel (071)",61,3,17,21,13,7
"Primaria (073)",250,10,104,89,42,5
"Secundaria (074)",149,3,108,26,12,
"Superior no univ. incompleta (075)",6,,4,1,1,
"Superior no univ. completa (076)",11,,7,2,2,
"Superior univ. incompleta (077)",2,,2,,,
"Superior univ. completa (078)",3,,2,1,,
"Mujeres (080)",111,6,70,23,11,1
"Sin nivel (081)",17,1,5,5,5,1
"Primaria (083)",59,5,36,12,6,
"Secundaria (084)",23,,19,4,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",8,,6,2,,
"Superior univ. completa (088)",3,,3,,,
