"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUARI (000)",15680,3424,5120,5440,97,1378,221
"Sin nivel (001)",1832,40,466,1008,6,261,51
"Educación inicial (002)",14,,6,5,,3,
"Primaria (003)",4467,117,1468,2248,20,547,67
"Secundaria (004)",4340,550,1810,1463,24,422,71
"Superior no univ. incompleta (005)",980,348,370,193,18,41,10
"Superior no univ. completa (006)",2393,1308,672,323,13,66,11
"Superior univ. incompleta (007)",426,194,164,55,2,9,2
"Superior univ. completa (008)",1228,867,164,145,14,29,9
"Hombres (010)",12857,2372,4812,4599,77,981,16
"Sin nivel (011)",1330,13,383,811,3,119,1
"Educación inicial (012)",12,,5,5,,2,
"Primaria (013)",3888,82,1367,2014,14,406,5
"Secundaria (014)",3764,411,1732,1247,19,351,4
"Superior no univ. incompleta (015)",828,269,358,149,17,34,1
"Superior no univ. completa (016)",1781,831,649,239,10,48,4
"Superior univ. incompleta (017)",348,147,162,33,2,4,
"Superior univ. completa (018)",906,619,156,101,12,17,1
"Mujeres (020)",2823,1052,308,841,20,397,205
"Sin nivel (021)",502,27,83,197,3,142,50
"Educación inicial (022)",2,,1,,,1,
"Primaria (023)",579,35,101,234,6,141,62
"Secundaria (024)",576,139,78,216,5,71,67
"Superior no univ. incompleta (025)",152,79,12,44,1,7,9
"Superior no univ. completa (026)",612,477,23,84,3,18,7
"Superior univ. incompleta (027)",78,47,2,22,,5,2
"Superior univ. completa (028)",322,248,8,44,2,12,8
,,,,,,,
"URBANA (030)",6172,2061,1414,2074,66,408,149
"Sin nivel (031)",323,15,77,159,2,39,31
"Educación inicial (032)",3,,1,1,,1,
"Primaria (033)",1335,61,414,692,8,113,47
"Secundaria (034)",1787,265,614,696,16,154,42
"Superior no univ. incompleta (035)",451,172,105,123,14,28,9
"Superior no univ. completa (036)",1308,895,126,227,12,39,9
"Superior univ. incompleta (037)",200,108,29,53,2,6,2
"Superior univ. completa (038)",765,545,48,123,12,28,9
"Hombres (040)",4380,1253,1283,1535,58,239,12
"Sin nivel (041)",164,5,52,96,2,8,1
"Educación inicial (042)",3,,1,1,,1,
"Primaria (043)",1014,40,368,540,6,56,4
"Secundaria (044)",1416,172,579,537,14,112,2
"Superior no univ. incompleta (045)",337,112,98,90,13,23,1
"Superior no univ. completa (046)",811,506,113,157,10,22,3
"Superior univ. incompleta (047)",128,67,27,31,2,1,
"Superior univ. completa (048)",507,351,45,83,11,16,1
"Mujeres (050)",1792,808,131,539,8,169,137
"Sin nivel (051)",159,10,25,63,,31,30
"Primaria (053)",321,21,46,152,2,57,43
"Secundaria (054)",371,93,35,159,2,42,40
"Superior no univ. incompleta (055)",114,60,7,33,1,5,8
"Superior no univ. completa (056)",497,389,13,70,2,17,6
"Superior univ. incompleta (057)",72,41,2,22,,5,2
"Superior univ. completa (058)",258,194,3,40,1,12,8
,,,,,,,
"RURAL (060)",9508,1363,3706,3366,31,970,72
"Sin nivel (061)",1509,25,389,849,4,222,20
"Educación inicial (062)",11,,5,4,,2,
"Primaria (063)",3132,56,1054,1556,12,434,20
"Secundaria (064)",2553,285,1196,767,8,268,29
"Superior no univ. incompleta (065)",529,176,265,70,4,13,1
"Superior no univ. completa (066)",1085,413,546,96,1,27,2
"Superior univ. incompleta (067)",226,86,135,2,,3,
"Superior univ. completa (068)",463,322,116,22,2,1,
"Hombres (070)",8477,1119,3529,3064,19,742,4
"Sin nivel (071)",1166,8,331,715,1,111,
"Educación inicial (072)",9,,4,4,,1,
"Primaria (073)",2874,42,999,1474,8,350,1
"Secundaria (074)",2348,239,1153,710,5,239,2
"Superior no univ. incompleta (075)",491,157,260,59,4,11,
"Superior no univ. completa (076)",970,325,536,82,,26,1
"Superior univ. incompleta (077)",220,80,135,2,,3,
"Superior univ. completa (078)",399,268,111,18,1,1,
"Mujeres (080)",1031,244,177,302,12,228,68
"Sin nivel (081)",343,17,58,134,3,111,20
"Educación inicial (082)",2,,1,,,1,
"Primaria (083)",258,14,55,82,4,84,19
"Secundaria (084)",205,46,43,57,3,29,27
"Superior no univ. incompleta (085)",38,19,5,11,,2,1
"Superior no univ. completa (086)",115,88,10,14,1,1,1
"Superior univ. incompleta (087)",6,6,,,,,
"Superior univ. completa (088)",64,54,5,4,1,,
