"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCA SANCOS (000)",3573,2864,250,230,229
"Empleado (001)",495,96,125,84,190
"Obrero (002)",812,550,80,144,38
"Trabajador independiente (003)",1645,1613,32,,
"Empleador o patrono (004)",14,11,1,2,
"Trabajador familiar no remunerado (005)",576,563,12,,1
"Trabajador del hogar (006)",31,31,,,
"De 06 a 14 años (008)",70,66,2,2,
"Obrero (010)",10,7,1,2,
"Trabajador independiente (011)",11,11,,,
"Trabajador familiar no remunerado (013)",47,46,1,,
"Trabajador del hogar (014)",2,2,,,
"De 15 a 29 años (016)",878,705,54,65,54
"Empleado (017)",96,35,14,8,39
"Obrero (018)",272,172,28,57,15
"Trabajador independiente (019)",305,296,9,,
"Empleador o patrono (020)",3,3,,,
"Trabajador familiar no remunerado (021)",185,182,3,,
"Trabajador del hogar (022)",17,17,,,
"De 30 a 44 años (024)",1253,912,116,110,115
"Empleado (025)",251,36,69,46,100
"Obrero (026)",282,172,33,62,15
"Trabajador independiente (027)",551,539,12,,
"Empleador o patrono (028)",6,4,,2,
"Trabajador familiar no remunerado (029)",154,152,2,,
"Trabajador del hogar (030)",9,9,,,
"De 45 a 64 años (032)",1004,822,73,51,58
"Empleado (033)",142,23,41,29,49
"Obrero (034)",177,129,18,22,8
"Trabajador independiente (035)",535,528,7,,
"Empleador o patrono (036)",3,2,1,,
"Trabajador familiar no remunerado (037)",145,138,6,,1
"Trabajador del hogar (038)",2,2,,,
"De 65 y más años (040)",368,359,5,2,2
"Empleado (041)",6,2,1,1,2
"Obrero (042)",71,70,,1,
"Trabajador independiente (043)",243,239,4,,
"Empleador o patrono (044)",2,2,,,
"Trabajador familiar no remunerado (045)",45,45,,,
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",2339,1739,228,164,208
"Empleado (049)",462,84,119,78,181
"Obrero (050)",513,332,70,85,26
"Trabajador independiente (051)",1042,1013,29,,
"Empleador o patrono (052)",12,10,1,1,
"Trabajador familiar no remunerado (053)",282,272,9,,1
"Trabajador del hogar (054)",28,28,,,
"De 06 a 14 años (056)",51,48,1,2,
"Obrero (058)",9,7,,2,
"Trabajador independiente (059)",9,9,,,
"Trabajador familiar no remunerado (061)",31,30,1,,
