"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia EL DORADO (000)",13925,748,1609,7307,243,3526,275,217
"Agric., ganadería, caza y silvicultura (001)",11286,6,1322,6364,200,3394,,
"Pesca (002)",2,,1,,1,,,
"Explotación de minas y canteras (003)",2,,2,,,,,
"Industrias manufactureras (004)",156,2,21,118,8,7,,
"Suministro de electricidad, gas y agua (005)",9,,9,,,,,
"Construcción (006)",156,1,112,28,8,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",542,57,8,393,12,72,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",45,6,6,30,3,,,
"Comercio al por mayor (009)",44,6,,31,1,6,,
"Comercio al por menor (010)",453,45,2,332,8,66,,
"Hoteles y restaurantes (011)",172,24,2,131,3,12,,
"Trans., almac. y comunicaciones (012)",182,38,25,110,4,5,,
"Intermediación financiera (013)",6,6,,,,,,
"Activid.inmobil., empres. y alquileres (014)",36,32,2,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",86,77,9,,,,,
"Enseñanza (016)",405,388,,17,,,,
"Servicios sociales y de salud (017)",71,64,,7,,,,
"Otras activ. serv.comun.soc y personales (018)",57,26,3,27,,1,,
"Hogares privados con servicio doméstico (019)",275,,,,,,275,
"Actividad economica no especificada (021)",265,27,93,110,7,28,,
"Desocupado (022)",217,,,,,,,217
"Hombres (023)",10060,437,1256,6245,221,1716,14,171
"Agric., ganadería, caza y silvicultura (024)",8606,6,1019,5718,188,1675,,
"Pesca (025)",2,,1,,1,,,
"Explotación de minas y canteras (026)",2,,2,,,,,
"Industrias manufactureras (027)",116,1,18,82,8,7,,
"Suministro de electricidad, gas y agua (028)",9,,9,,,,,
"Construcción (029)",152,1,110,26,8,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",284,27,8,229,7,13,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",41,6,6,26,3,,,
"Comercio al por mayor (032)",28,4,,22,1,1,,
"Comercio al por menor (033)",215,17,2,181,3,12,,
"Hoteles y restaurantes (034)",24,2,1,18,1,2,,
"Trans., almac. y comunicaciones (035)",172,31,24,108,4,5,,
"Intermediación financiera (036)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (037)",26,23,1,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",67,59,8,,,,,
"Enseñanza (039)",232,227,,5,,,,
"Servicios sociales y de salud (040)",34,28,,6,,,,
"Otras activ. serv.comun.soc y personales (041)",31,15,3,12,,1,,
"Hogares privados con servicio doméstico (042)",14,,,,,,14,
"Actividad economica no especificada (044)",114,13,52,39,4,6,,
"Desocupado (045)",171,,,,,,,171
"Mujeres (046)",3865,311,353,1062,22,1810,261,46
"Agric., ganadería, caza y silvicultura (047)",2680,,303,646,12,1719,,
"Industrias manufactureras (050)",40,1,3,36,,,,
"Construcción (052)",4,,2,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",258,30,,164,5,59,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,,,4,,,,
"Comercio al por mayor (055)",16,2,,9,,5,,
"Comercio al por menor (056)",238,28,,151,5,54,,
"Hoteles y restaurantes (057)",148,22,1,113,2,10,,
"Trans., almac. y comunicaciones (058)",10,7,1,2,,,,
"Intermediación financiera (059)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (060)",10,9,1,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",19,18,1,,,,,
"Enseñanza (062)",173,161,,12,,,,
"Servicios sociales y de salud (063)",37,36,,1,,,,
"Otras activ. serv.comun.soc y personales (064)",26,11,,15,,,,
"Hogares privados con servicio doméstico (065)",261,,,,,,261,
"Actividad economica no especificada (067)",151,14,41,71,3,22,,
"Desocupado (068)",46,,,,,,,46
,,,,,,,,
"URBANA (069)",5612,601,643,2761,85,1225,195,102
"Agric., ganadería, caza y silvicultura (070)",3632,5,425,2021,52,1129,,
"Pesca (071)",2,,1,,1,,,
"Industrias manufactureras (073)",127,2,19,94,8,4,,
"Suministro de electricidad, gas y agua (074)",9,,9,,,,,
"Construcción (075)",116,1,81,24,7,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",434,53,8,307,10,56,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",43,6,6,28,3,,,
"Comercio al por mayor (078)",38,6,,25,1,6,,
"Comercio al por menor (079)",353,41,2,254,6,50,,
"Hoteles y restaurantes (080)",141,20,2,104,3,12,,
"Trans., almac. y comunicaciones (081)",160,35,24,93,4,4,,
"Intermediación financiera (082)",6,6,,,,,,
"Activid.inmobil., empres. y alquileres (083)",32,28,2,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",77,69,8,,,,,
"Enseñanza (085)",290,280,,10,,,,
"Servicios sociales y de salud (086)",64,57,,7,,,,
"Otras activ. serv.comun.soc y personales (087)",51,23,3,24,,1,,
"Hogares privados con servicio doméstico (088)",195,,,,,,195,
"Actividad economica no especificada (090)",174,22,61,75,,16,,
"Desocupado (091)",102,,,,,,,102
"Hombres (092)",3759,345,500,2171,78,585,4,76
"Agric., ganadería, caza y silvicultura (093)",2689,5,321,1755,50,558,,
"Pesca (094)",2,,1,,1,,,
"Industrias manufactureras (096)",92,1,16,63,8,4,,
"Suministro de electricidad, gas y agua (097)",9,,9,,,,,
"Construcción (098)",112,1,79,22,7,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",225,26,8,176,7,8,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",39,6,6,24,3,,,
"Comercio al por mayor (101)",25,4,,19,1,1,,
"Comercio al por menor (102)",161,16,2,133,3,7,,
"Hoteles y restaurantes (103)",20,1,1,15,1,2,,
"Trans., almac. y comunicaciones (104)",150,28,23,91,4,4,,
"Intermediación financiera (105)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (106)",22,19,1,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",58,51,7,,,,,
"Enseñanza (108)",164,162,,2,,,,
"Servicios sociales y de salud (109)",30,24,,6,,,,
"Otras activ. serv.comun.soc y personales (110)",29,14,3,11,,1,,
"Hogares privados con servicio doméstico (111)",4,,,,,,4,
"Actividad economica no especificada (113)",73,9,31,28,,5,,
"Desocupado (114)",76,,,,,,,76
"Mujeres (115)",1853,256,143,590,7,640,191,26
"Agric., ganadería, caza y silvicultura (116)",943,,104,266,2,571,,
"Industrias manufactureras (119)",35,1,3,31,,,,
"Construcción (121)",4,,2,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",209,27,,131,3,48,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",4,,,4,,,,
"Comercio al por mayor (124)",13,2,,6,,5,,
"Comercio al por menor (125)",192,25,,121,3,43,,
"Hoteles y restaurantes (126)",121,19,1,89,2,10,,
