"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia YUNGAY (000)",20294,19832,6510,2345,2407,1828,2820,1924,1998,462
"Católica (001)",18857,18441,6070,2205,2251,1703,2608,1788,1816,416
"Cristiana/Evangélica (002)",1278,1241,387,117,133,109,189,129,177,37
"Otra (003)",83,79,25,9,16,10,13,4,2,4
"Ninguna (004)",76,71,28,14,7,6,10,3,3,5
,,,,,,,,,,
"URBANA (006)",5167,4969,1610,714,780,515,668,381,301,198
"Católica (007)",4770,4592,1488,665,723,477,603,359,277,178
"Cristiana/Evangélica (008)",296,283,86,34,40,28,53,20,22,13
"Otra (009)",58,54,21,5,13,6,8,1,,4
"Ninguna (010)",43,40,15,10,4,4,4,1,2,3
,,,,,,,,,,
"RURAL (012)",15127,14863,4900,1631,1627,1313,2152,1543,1697,264
"Católica (013)",14087,13849,4582,1540,1528,1226,2005,1429,1539,238
"Cristiana/Evangélica (014)",982,958,301,83,93,81,136,109,155,24
"Otra (015)",25,25,4,4,3,4,5,3,2,
"Ninguna (016)",33,31,13,4,3,2,6,2,1,2
