"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia VIRU (000)",76710,75416,1010,284
"Hombres (001)",39716,39154,416,146
"Mujeres (002)",36994,36262,594,138
"Menores de 1 año (003)",1992,1721,204,67
"Hombres (004)",1016,876,105,35
"Mujeres (005)",976,845,99,32
"De 1 a 5 años (006)",9076,8406,484,186
"Hombres (007)",4571,4243,229,99
"Mujeres (008)",4505,4163,255,87
"De 6 a 14 años (009)",14469,14388,63,18
"Hombres (010)",7375,7338,29,8
"Mujeres (011)",7094,7050,34,10
"De 15 a 29 años (012)",25190,25149,37,4
"Hombres (013)",13188,13175,11,2
"Mujeres (014)",12002,11974,26,2
"De 30 a 44 años (015)",14135,14106,27,2
"Hombres (016)",7323,7317,6,
"Mujeres (017)",6812,6789,21,2
"De 45 a 64 años (018)",8560,8497,58,5
"Hombres (019)",4463,4452,9,2
"Mujeres (020)",4097,4045,49,3
"De 65 a más años (021)",3288,3149,137,2
"Hombres (022)",1780,1753,27,
"Mujeres (023)",1508,1396,110,2
,,,,
"URBANA (024)",59090,58219,669,202
"Hombres (025)",30300,29917,280,103
"Mujeres (026)",28790,28302,389,99
"Menores de 1 año (027)",1585,1392,148,45
"Hombres (028)",816,706,83,27
"Mujeres (029)",769,686,65,18
"De 1 a 5 años (030)",7109,6646,325,138
"Hombres (031)",3564,3343,151,70
"Mujeres (032)",3545,3303,174,68
"De 6 a 14 años (033)",11094,11039,45,10
"Hombres (034)",5609,5586,21,2
"Mujeres (035)",5485,5453,24,8
"De 15 a 29 años (036)",20204,20176,26,2
"Hombres (037)",10481,10470,9,2
"Mujeres (038)",9723,9706,17,
"De 30 a 44 años (039)",10994,10979,14,1
"Hombres (040)",5661,5659,2,
"Mujeres (041)",5333,5320,12,1
"De 45 a 64 años (042)",6067,6033,29,5
"Hombres (043)",3095,3091,2,2
"Mujeres (044)",2972,2942,27,3
"De 65 a más años (045)",2037,1954,82,1
"Hombres (046)",1074,1062,12,
"Mujeres (047)",963,892,70,1
,,,,
"RURAL (048)",17620,17197,341,82
"Hombres (049)",9416,9237,136,43
"Mujeres (050)",8204,7960,205,39
"Menores de 1 año (051)",407,329,56,22
"Hombres (052)",200,170,22,8
"Mujeres (053)",207,159,34,14
"De 1 a 5 años (054)",1967,1760,159,48
"Hombres (055)",1007,900,78,29
"Mujeres (056)",960,860,81,19
"De 6 a 14 años (057)",3375,3349,18,8
"Hombres (058)",1766,1752,8,6
"Mujeres (059)",1609,1597,10,2
"De 15 a 29 años (060)",4986,4973,11,2
"Hombres (061)",2707,2705,2,
"Mujeres (062)",2279,2268,9,2
"De 30 a 44 años (063)",3141,3127,13,1
"Hombres (064)",1662,1658,4,
"Mujeres (065)",1479,1469,9,1
"De 45 a 64 años (066)",2493,2464,29,
"Hombres (067)",1368,1361,7,
"Mujeres (068)",1125,1103,22,
"De 65 a más años (069)",1251,1195,55,1
"Hombres (070)",706,691,15,
"Mujeres (071)",545,504,40,1
