"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CASTROVIRREYNA (000)",16999,4957,2420,335,9323
"Hombres (001)",8916,2371,1622,268,4683
"Mujeres (002)",8083,2586,798,67,4640
"PEA (003)",6668,627,1668,264,4131
"Hombres (004)",4667,372,1315,235,2766
"Mujeres (005)",2001,255,353,29,1365
"Ocupada (006)",6492,604,1655,263,3992
"Hombres (007)",4531,359,1306,234,2653
"Mujeres (008)",1961,245,349,29,1339
"Desocupada (009)",176,23,13,1,139
"Hombres (010)",136,13,9,1,113
"Mujeres (011)",40,10,4,,26
"No PEA (012)",10331,4330,752,71,5192
"Hombres (013)",4249,1999,307,33,1917
"Mujeres (014)",6082,2331,445,38,3275
,,,,,
"URBANA (018)",5503,1208,1631,221,2467
"Hombres (019)",3006,546,1081,178,1219
"Mujeres (020)",2497,662,550,43,1248
"PEA (021)",2715,211,1138,178,1205
"Hombres (022)",1910,129,867,158,772
"Mujeres (023)",805,82,271,20,433
"Ocupada (024)",2630,199,1126,177,1145
"Hombres (025)",1854,125,859,157,729
"Mujeres (026)",776,74,267,20,416
"Desocupada (027)",85,12,12,1,60
"Hombres (028)",56,4,8,1,43
"Mujeres (029)",29,8,4,,17
"No PEA (030)",2788,997,493,43,1262
"Hombres (031)",1096,417,214,20,447
"Mujeres (032)",1692,580,279,23,815
,,,,,
"RURAL (036)",11496,3749,789,114,6856
"Hombres (037)",5910,1825,541,90,3464
"Mujeres (038)",5586,1924,248,24,3392
"PEA (039)",3953,416,530,86,2926
"Hombres (040)",2757,243,448,77,1994
"Mujeres (041)",1196,173,82,9,932
"Ocupada (042)",3862,405,529,86,2847
"Hombres (043)",2677,234,447,77,1924
"Mujeres (044)",1185,171,82,9,923
"Desocupada (045)",91,11,1,,79
"Hombres (046)",80,9,1,,70
"Mujeres (047)",11,2,,,9
"No PEA (048)",7543,3333,259,28,3930
"Hombres (049)",3153,1582,93,13,1470
"Mujeres (050)",4390,1751,166,15,2460
