"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUARAZ (000)",3580,30,1819,1068,555,108
"Sin nivel (001)",180,2,32,52,65,29
"Educación inicial (002)",3,,2,1,,
"Primaria (003)",669,9,206,197,199,58
"Secundaria (004)",1244,19,761,321,129,14
"Superior no univ. incompleta (005)",252,,166,64,22,
"Superior no univ. completa (006)",451,,213,179,58,1
"Superior univ. incompleta (007)",279,,206,56,16,1
"Superior univ. completa (008)",502,,233,198,66,5
"Hombres (010)",2450,23,1122,744,460,101
"Sin nivel (011)",132,2,24,36,45,25
"Educación inicial (012)",1,,1,,,
"Primaria (013)",512,8,125,147,175,57
"Secundaria (014)",946,13,550,257,113,13
"Superior no univ. incompleta (015)",149,,90,44,15,
"Superior no univ. completa (016)",242,,95,101,45,1
"Superior univ. incompleta (017)",189,,129,45,14,1
"Superior univ. completa (018)",279,,108,114,53,4
"Mujeres (020)",1130,7,697,324,95,7
"Sin nivel (021)",48,,8,16,20,4
"Educación inicial (022)",2,,1,1,,
"Primaria (023)",157,1,81,50,24,1
"Secundaria (024)",298,6,211,64,16,1
"Superior no univ. incompleta (025)",103,,76,20,7,
"Superior no univ. completa (026)",209,,118,78,13,
"Superior univ. incompleta (027)",90,,77,11,2,
"Superior univ. completa (028)",223,,125,84,13,1
,,,,,,
"Area Urbana (030)",2814,17,1418,882,428,69
"Sin nivel (031)",86,,13,26,35,12
"Educación inicial (032)",1,,,1,,
"Primaria (033)",356,2,94,106,117,37
"Secundaria (034)",944,15,536,263,116,14
"Superior no univ. incompleta (035)",240,,158,60,22,
"Superior no univ. completa (036)",429,,196,176,56,1
"Superior univ. incompleta (037)",270,,198,55,16,1
"Superior univ. completa (038)",488,,223,195,66,4
"Hombres (040)",1804,13,807,578,343,63
"Sin nivel (041)",50,,8,13,20,9
"Primaria (043)",251,2,47,69,97,36
"Secundaria (044)",687,11,362,200,101,13
"Superior no univ. incompleta (045)",141,,86,40,15,
"Superior no univ. completa (046)",226,,82,100,43,1
"Superior univ. incompleta (047)",180,,121,44,14,1
"Superior univ. completa (048)",269,,101,112,53,3
"Mujeres (050)",1010,4,611,304,85,6
"Sin nivel (051)",36,,5,13,15,3
"Educación inicial (052)",1,,,1,,
"Primaria (053)",105,,47,37,20,1
"Secundaria (054)",257,4,174,63,15,1
"Superior no univ. incompleta (055)",99,,72,20,7,
"Superior no univ. completa (056)",203,,114,76,13,
"Superior univ. incompleta (057)",90,,77,11,2,
"Superior univ. completa (058)",219,,122,83,13,1
,,,,,,
"Area Rural (060)",766,13,401,186,127,39
"Sin nivel (061)",94,2,19,26,30,17
"Educación inicial (062)",2,,2,,,
"Primaria (063)",313,7,112,91,82,21
"Secundaria (064)",300,4,225,58,13,
"Superior no univ. incompleta (065)",12,,8,4,,
"Superior no univ. completa (066)",22,,17,3,2,
"Superior univ. incompleta (067)",9,,8,1,,
"Superior univ. completa (068)",14,,10,3,,1
"Hombres (070)",646,10,315,166,117,38
"Sin nivel (071)",82,2,16,23,25,16
"Educación inicial (072)",1,,1,,,
"Primaria (073)",261,6,78,78,78,21
"Secundaria (074)",259,2,188,57,12,
"Superior no univ. incompleta (075)",8,,4,4,,
"Superior no univ. completa (076)",16,,13,1,2,
"Superior univ. incompleta (077)",9,,8,1,,
"Superior univ. completa (078)",10,,7,2,,1
"Mujeres (080)",120,3,86,20,10,1
"Sin nivel (081)",12,,3,3,5,1
"Educación inicial (082)",1,,1,,,
"Primaria (083)",52,1,34,13,4,
"Secundaria (084)",41,2,37,1,1,
"Superior no univ. incompleta (085)",4,,4,,,
"Superior no univ. completa (086)",6,,4,2,,
"Superior univ. completa (088)",4,,3,1,,
