"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAYTARA (000)",8262,5903,517,493,1349
"Agric., ganadería, caza y silvicultura (001)",4536,4389,90,18,39
"Pesca (002)",1,1,,,
"Explotación de minas y canteras (003)",1105,48,77,282,698
"Industrias manufactureras (004)",99,77,5,5,12
"Suministro de electricidad, gas y agua (005)",15,3,,6,6
"Construcción (006)",470,190,72,41,167
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",443,417,7,2,17
"Venta, mant.y rep. veh.autom y motoc. (008)",32,13,,2,17
"Comercio al por mayor (009)",16,16,,,
"Comercio al por menor (010)",395,388,7,,
"Hoteles y restaurantes (011)",155,123,11,16,5
"Trans., almac. y comunicaciones (012)",154,104,15,17,18
"Intermediación financiera (013)",3,1,,,2
"Activid.inmobil., empres. y alquileres (014)",108,34,10,31,33
"Admin.pub. y defensa; p. segur soc.afil (015)",271,,,,271
"Enseñanza (016)",459,215,169,68,7
"Servicios sociales y de salud (017)",105,31,8,2,64
"Otras activ. serv.comun.soc y personales (018)",46,32,11,,3
"Hogares privados con servicio doméstico (019)",70,70,,,
"Organiz. y organos extraterritoriales (020)",2,,2,,
"Actividad economica no especificada (021)",220,168,40,5,7
"Hombres (022)",5938,3893,386,444,1215
"Agric., ganadería, caza y silvicultura (023)",3130,3019,67,16,28
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",1088,47,77,279,685
"Industrias manufactureras (026)",85,66,5,3,11
"Suministro de electricidad, gas y agua (027)",15,3,,6,6
"Construcción (028)",459,186,71,38,164
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",234,211,4,2,17
"Venta, mant.y rep. veh.autom y motoc. (030)",32,13,,2,17
"Comercio al por mayor (031)",10,10,,,
"Comercio al por menor (032)",192,188,4,,
"Hoteles y restaurantes (033)",38,23,,13,2
"Trans., almac. y comunicaciones (034)",148,100,13,17,18
"Intermediación financiera (035)",2,1,,,1
"Activid.inmobil., empres. y alquileres (036)",90,28,7,29,26
"Admin.pub. y defensa; p. segur soc.afil (037)",219,,,,219
"Enseñanza (038)",209,81,90,35,3
"Servicios sociales y de salud (039)",50,17,4,2,27
"Otras activ. serv.comun.soc y personales (040)",31,20,10,,1
"Hogares privados con servicio doméstico (041)",6,6,,,
