"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAJAMARCA (000)",316152,6300,91864,95165,63134,42264,17425
"Hombres (001)",155571,3150,46489,46776,31129,20337,7690
"Mujeres (002)",160581,3150,45375,48389,32005,21927,9735
"Viviendas particulares (003)",308406,6275,91551,92132,60177,41048,17223
"Hombres (004)",149478,3133,46337,44478,28593,19360,7577
"Mujeres (005)",158928,3142,45214,47654,31584,21688,9646
"Viviendas colectivas (006)",6733,22,258,2648,2603,1018,184
"Hombres (007)",5333,14,122,2025,2253,817,102
"Mujeres (008)",1400,8,136,623,350,201,82
"Otro tipo (009)",1013,3,55,385,354,198,18
"Hombres (010)",760,3,30,273,283,160,11
"Mujeres (011)",253,,25,112,71,38,7
,,,,,,,
"URBANA (012)",174728,3379,45706,55246,37650,24199,8548
"Hombres (013)",85047,1719,23121,26743,18234,11590,3640
"Mujeres (014)",89681,1660,22585,28503,19416,12609,4908
"Viviendas particulares (015)",170083,3354,45396,53396,36215,23366,8356
"Hombres (016)",81810,1702,22971,25514,17112,10974,3537
"Mujeres (017)",88273,1652,22425,27882,19103,12392,4819
"Viviendas colectivas (018)",3642,22,256,1469,1086,635,174
"Hombres (019)",2484,14,120,959,843,456,92
"Mujeres (020)",1158,8,136,510,243,179,82
"Otro tipo (021)",1003,3,54,381,349,198,18
"Hombres (022)",753,3,30,270,279,160,11
"Mujeres (023)",250,,24,111,70,38,7
,,,,,,,
"RURAL (024)",141424,2921,46158,39919,25484,18065,8877
"Hombres (025)",70524,1431,23368,20033,12895,8747,4050
"Mujeres (026)",70900,1490,22790,19886,12589,9318,4827
"Viviendas particulares (027)",138323,2921,46155,38736,23962,17682,8867
"Hombres (028)",67668,1431,23366,18964,11481,8386,4040
"Mujeres (029)",70655,1490,22789,19772,12481,9296,4827
"Viviendas colectivas (030)",3091,,2,1179,1517,383,10
"Hombres (031)",2849,,2,1066,1410,361,10
"Mujeres (032)",242,,,113,107,22,
"Otro tipo (033)",10,,1,4,5,,
"Hombres (034)",7,,,3,4,,
"Mujeres (035)",3,,1,1,1,,
