"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia ANTONIO RAYMONDI",,,,
"Viviendas particulares (001)",3303,3065,178,60
"Ocupantes presentes (002)",14287,13232,760,295
"Casa independiente",,,,
"Viviendas particulares (004)",3298,3060,178,60
"Ocupantes presentes (005)",14269,13214,760,295
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",4,4,,
"Ocupantes presentes (014)",13,13,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",1,1,,
"Ocupantes presentes (023)",5,5,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",2722,2576,110,36
"Ocupantes presentes (029)",11794,11135,480,179
"Casa independiente",,,,
"Viviendas particulares (031)",2717,2571,110,36
"Ocupantes presentes (032)",11776,11117,480,179
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",4,4,,
"Ocupantes presentes (041)",13,13,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",1,1,,
"Ocupantes presentes (050)",5,5,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",581,489,68,24
"Ocupantes presentes (056)",2493,2097,280,116
"Casa independiente",,,,
"Viviendas particulares (058)",581,489,68,24
"Ocupantes presentes (059)",2493,2097,280,116
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",996,950,37,9
"Ocupantes presentes (110)",3984,3781,140,63
"Casa independiente",,,,
"Viviendas particulares (112)",991,945,37,9
"Ocupantes presentes (113)",3966,3763,140,63
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",4,4,,
"Ocupantes presentes (122)",13,13,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",1,1,,
"Ocupantes presentes (131)",5,5,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",826,801,22,3
"Ocupantes presentes (137)",3320,3201,94,25
"Casa independiente",,,,
"Viviendas particulares (139)",821,796,22,3
"Ocupantes presentes (140)",3302,3183,94,25
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",4,4,,
"Ocupantes presentes (149)",13,13,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,1,,
"Ocupantes presentes (158)",5,5,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",170,149,15,6
"Ocupantes presentes (164)",664,580,46,38
"Casa independiente",,,,
"Viviendas particulares (166)",170,149,15,6
"Ocupantes presentes (167)",664,580,46,38
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",2307,2115,141,51
"Ocupantes presentes (218)",10303,9451,620,232
"Casa independiente",,,,
"Viviendas particulares (220)",2307,2115,141,51
"Ocupantes presentes (221)",10303,9451,620,232
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1896,1775,88,33
"Ocupantes presentes (245)",8474,7934,386,154
"Casa independiente",,,,
"Viviendas particulares (247)",1896,1775,88,33
"Ocupantes presentes (248)",8474,7934,386,154
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",411,340,53,18
"Ocupantes presentes (272)",1829,1517,234,78
"Casa independiente",,,,
"Viviendas particulares (274)",411,340,53,18
"Ocupantes presentes (275)",1829,1517,234,78
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
