"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JAEN (000)",159668,41448,50104,35097,23954,9065
"Hombres (001)",81792,21278,25407,17653,12529,4925
"Mujeres (002)",77876,20170,24697,17444,11425,4140
"PEA (003)",64185,1617,22945,21855,14179,3589
"Hombres (004)",48781,1227,17270,16042,11081,3161
"Mujeres (005)",15404,390,5675,5813,3098,428
"Ocupada (006)",62184,1538,21921,21322,13881,3522
"Hombres (007)",47316,1179,16581,15642,10816,3098
"Mujeres (008)",14868,359,5340,5680,3065,424
"Desocupada (009)",2001,79,1024,533,298,67
"Hombres (010)",1465,48,689,400,265,63
"Mujeres (011)",536,31,335,133,33,4
"No PEA (012)",95483,39831,27159,13242,9775,5476
"Hombres (013)",33011,20051,8137,1611,1448,1764
"Mujeres (014)",62472,19780,19022,11631,8327,3712
,,,,,,
"URBANA (018)",81294,18462,26836,19284,12506,4206
"Hombres (019)",40261,9324,12905,9347,6447,2238
"Mujeres (020)",41033,9138,13931,9937,6059,1968
"PEA (021)",35055,796,12084,12864,7871,1440
"Hombres (022)",23584,552,7945,8343,5528,1216
"Mujeres (023)",11471,244,4139,4521,2343,224
"Ocupada (024)",33711,767,11397,12470,7675,1402
"Hombres (025)",22644,534,7506,8063,5360,1181
"Mujeres (026)",11067,233,3891,4407,2315,221
"Desocupada (027)",1344,29,687,394,196,38
"Hombres (028)",940,18,439,280,168,35
"Mujeres (029)",404,11,248,114,28,3
"No PEA (030)",46239,17666,14752,6420,4635,2766
"Hombres (031)",16677,8772,4960,1004,919,1022
"Mujeres (032)",29562,8894,9792,5416,3716,1744
,,,,,,
"RURAL (036)",78374,22986,23268,15813,11448,4859
"Hombres (037)",41531,11954,12502,8306,6082,2687
"Mujeres (038)",36843,11032,10766,7507,5366,2172
"PEA (039)",29130,821,10861,8991,6308,2149
"Hombres (040)",25197,675,9325,7699,5553,1945
"Mujeres (041)",3933,146,1536,1292,755,204
"Ocupada (042)",28473,771,10524,8852,6206,2120
"Hombres (043)",24672,645,9075,7579,5456,1917
"Mujeres (044)",3801,126,1449,1273,750,203
"Desocupada (045)",657,50,337,139,102,29
"Hombres (046)",525,30,250,120,97,28
"Mujeres (047)",132,20,87,19,5,1
"No PEA (048)",49244,22165,12407,6822,5140,2710
"Hombres (049)",16334,11279,3177,607,529,742
"Mujeres (050)",32910,10886,9230,6215,4611,1968
