"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ABANCAY (000)",84364,8114,1285,29870,26837,2830,3423,5967,6038
"Hombres (001)",41618,2093,628,14925,14360,1438,1705,3208,3261
"Mujeres (002)",42746,6021,657,14945,12477,1392,1718,2759,2777
"PEA (003)",33077,2274,30,7835,11256,1522,2719,2381,5060
"Hombres (004)",21104,1176,13,5423,7728,909,1468,1508,2879
"Mujeres (005)",11973,1098,17,2412,3528,613,1251,873,2181
"Ocupada (006)",31552,2228,30,7545,10648,1440,2603,2227,4831
"Hombres (007)",20119,1148,13,5204,7304,859,1409,1414,2768
"Mujeres (008)",11433,1080,17,2341,3344,581,1194,813,2063
"Desocupada (009)",1525,46,,290,608,82,116,154,229
"Hombres (010)",985,28,,219,424,50,59,94,111
"Mujeres (011)",540,18,,71,184,32,57,60,118
"No PEA (012)",51287,5840,1255,22035,15581,1308,704,3586,978
"Hombres (013)",20514,917,615,9502,6632,529,237,1700,382
"Mujeres (014)",30773,4923,640,12533,8949,779,467,1886,596
,,,,,,,,,
"URBANA (018)",53976,2564,883,15105,18355,2484,3174,5645,5766
"Hombres (019)",26106,453,433,7072,9243,1237,1550,3014,3104
"Mujeres (020)",27870,2111,450,8033,9112,1247,1624,2631,2662
"PEA (021)",23293,786,17,3568,7905,1351,2538,2267,4861
"Hombres (022)",13242,192,7,1868,4884,788,1338,1413,2752
"Mujeres (023)",10051,594,10,1700,3021,563,1200,854,2109
"Ocupada (024)",22085,761,17,3402,7441,1280,2426,2117,4641
"Hombres (025)",12529,182,7,1761,4582,745,1281,1322,2649
"Mujeres (026)",9556,579,10,1641,2859,535,1145,795,1992
"Desocupada (027)",1208,25,,166,464,71,112,150,220
"Hombres (028)",713,10,,107,302,43,57,91,103
"Mujeres (029)",495,15,,59,162,28,55,59,117
"No PEA (030)",30683,1778,866,11537,10450,1133,636,3378,905
"Hombres (031)",12864,261,426,5204,4359,449,212,1601,352
"Mujeres (032)",17819,1517,440,6333,6091,684,424,1777,553
,,,,,,,,,
"RURAL (036)",30388,5550,402,14765,8482,346,249,322,272
"Hombres (037)",15512,1640,195,7853,5117,201,155,194,157
"Mujeres (038)",14876,3910,207,6912,3365,145,94,128,115
"PEA (039)",9784,1488,13,4267,3351,171,181,114,199
"Hombres (040)",7862,984,6,3555,2844,121,130,95,127
"Mujeres (041)",1922,504,7,712,507,50,51,19,72
"Ocupada (042)",9467,1467,13,4143,3207,160,177,110,190
"Hombres (043)",7590,966,6,3443,2722,114,128,92,119
"Mujeres (044)",1877,501,7,700,485,46,49,18,71
"Desocupada (045)",317,21,,124,144,11,4,4,9
"Hombres (046)",272,18,,112,122,7,2,3,8
"Mujeres (047)",45,3,,12,22,4,2,1,1
"No PEA (048)",20604,4062,389,10498,5131,175,68,208,73
"Hombres (049)",7650,656,189,4298,2273,80,25,99,30
"Mujeres (050)",12954,3406,200,6200,2858,95,43,109,43
