"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia LUCANAS",,,,,,,,
"Hogares (001)",19325,12846,5587,1254,82,242,575,5526
"Ocupantes presentes (002)",64590,46137,22115,5140,331,989,2412,14873
"Casa independiente",,,,,,,,
"Hogares (004)",17140,11556,5340,1210,77,234,557,4706
"Ocupantes presentes (005)",58552,42480,21302,5006,317,960,2344,12731
"Departamento en edificio",,,,,,,,
"Hogares (007)",10,6,8,3,,1,1,1
"Ocupantes presentes (008)",34,18,28,10,,1,5,4
"Vivienda en quinta",,,,,,,,
"Hogares (010)",65,51,40,9,1,1,8,10
"Ocupantes presentes (011)",192,154,135,27,4,4,30,20
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",75,46,31,5,2,2,5,18
"Ocupantes presentes (014)",228,144,114,19,6,4,24,52
"Choza o cabaña",,,,,,,,
"Hogares (016)",1993,1169,157,26,2,2,1,774
"Ocupantes presentes (017)",5469,3289,496,77,4,14,2,2024
"Vivienda improvisada",,,,,,,,
"Hogares (019)",2,2,1,,,1,,
"Ocupantes presentes (020)",12,12,3,,,3,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",31,16,10,1,,1,3,8
"Ocupantes presentes (023)",77,40,37,1,,3,7,16
"Otro tipo",,,,,,,,
"Hogares (025)",9,,,,,,,9
"Ocupantes presentes (026)",26,,,,,,,26
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",10650,7364,4320,1052,75,199,559,2677
"Ocupantes presentes (029)",37913,28216,17590,4412,312,831,2360,7356
"Casa independiente",,,,,,,,
"Hogares (031)",10480,7249,4234,1035,72,194,544,2642
"Ocupantes presentes (032)",37400,27860,17287,4356,302,819,2296,7267
"Departamento en edificio",,,,,,,,
"Hogares (034)",10,6,8,3,,1,1,1
"Ocupantes presentes (035)",34,18,28,10,,1,5,4
"Vivienda en quinta",,,,,,,,
"Hogares (037)",65,51,40,9,1,1,8,10
"Ocupantes presentes (038)",192,154,135,27,4,4,30,20
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",75,46,31,5,2,2,5,18
"Ocupantes presentes (041)",228,144,114,19,6,4,24,52
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",2,2,1,,,1,,
"Ocupantes presentes (047)",12,12,3,,,3,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",16,10,6,,,,1,4
"Ocupantes presentes (050)",44,28,23,,,,5,10
"Otro tipo",,,,,,,,
"Hogares (052)",2,,,,,,,2
"Ocupantes presentes (053)",3,,,,,,,3
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",8675,5482,1267,202,7,43,16,2849
"Ocupantes presentes (056)",26677,17921,4525,728,19,158,52,7517
"Casa independiente",,,,,,,,
"Hogares (058)",6660,4307,1106,175,5,40,13,2064
"Ocupantes presentes (059)",21152,14620,4015,650,15,141,48,5464
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1993,1169,157,26,2,2,1,774
"Ocupantes presentes (071)",5469,3289,496,77,4,14,2,2024
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",15,6,4,1,,1,2,4
"Ocupantes presentes (077)",33,12,14,1,,3,2,6
"Otro tipo",,,,,,,,
"Hogares (079)",7,,,,,,,7
"Ocupantes presentes (080)",23,,,,,,,23
