"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANCAYO (000)",414076,18983,5627,121156,146205,23470,26980,28535,43120
"Hombres (001)",196096,3448,2838,54168,75407,11516,11507,15297,21915
"Mujeres (002)",217980,15535,2789,66988,70798,11954,15473,13238,21205
"PEA (003)",180744,5891,146,30263,66290,12208,19206,12960,33780
"Hombres (004)",105217,1637,67,16166,43406,7319,9672,8218,18732
"Mujeres (005)",75527,4254,79,14097,22884,4889,9534,4742,15048
"Ocupada (006)",172189,5735,137,29135,62707,11661,18187,12382,32245
"Hombres (007)",99955,1564,62,15421,40914,7001,9178,7862,17953
"Mujeres (008)",72234,4171,75,13714,21793,4660,9009,4520,14292
"Desocupada (009)",8555,156,9,1128,3583,547,1019,578,1535
"Hombres (010)",5262,73,5,745,2492,318,494,356,779
"Mujeres (011)",3293,83,4,383,1091,229,525,222,756
"No PEA (012)",233332,13092,5481,90893,79915,11262,7774,15575,9340
"Hombres (013)",90879,1811,2771,38002,32001,4197,1835,7079,3183
"Mujeres (014)",142453,11281,2710,52891,47914,7065,5939,8496,6157
,,,,,,,,,
"URBANA (018)",367022,13948,5013,99183,130718,22250,25987,27724,42199
"Hombres (019)",173249,2265,2560,43738,66586,10888,11006,14827,21379
"Mujeres (020)",193773,11683,2453,55445,64132,11362,14981,12897,20820
"PEA (021)",162430,4138,130,23042,59197,11697,18504,12646,33076
"Hombres (022)",93028,910,59,11535,38048,6961,9234,7997,18284
"Mujeres (023)",69402,3228,71,11507,21149,4736,9270,4649,14792
"Ocupada (024)",154623,4015,121,22112,55995,11171,17537,12075,31597
"Hombres (025)",88321,857,54,10952,35851,6654,8769,7647,17537
"Mujeres (026)",66302,3158,67,11160,20144,4517,8768,4428,14060
"Desocupada (027)",7807,123,9,930,3202,526,967,571,1479
"Hombres (028)",4707,53,5,583,2197,307,465,350,747
"Mujeres (029)",3100,70,4,347,1005,219,502,221,732
"No PEA (030)",204592,9810,4883,76141,71521,10553,7483,15078,9123
"Hombres (031)",80221,1355,2501,32203,28538,3927,1772,6830,3095
"Mujeres (032)",124371,8455,2382,43938,42983,6626,5711,8248,6028
,,,,,,,,,
"RURAL (036)",47054,5035,614,21973,15487,1220,993,811,921
"Hombres (037)",22847,1183,278,10430,8821,628,501,470,536
"Mujeres (038)",24207,3852,336,11543,6666,592,492,341,385
"PEA (039)",18314,1753,16,7221,7093,511,702,314,704
"Hombres (040)",12189,727,8,4631,5358,358,438,221,448
"Mujeres (041)",6125,1026,8,2590,1735,153,264,93,256
"Ocupada (042)",17566,1720,16,7023,6712,490,650,307,648
"Hombres (043)",11634,707,8,4469,5063,347,409,215,416
"Mujeres (044)",5932,1013,8,2554,1649,143,241,92,232
"Desocupada (045)",748,33,,198,381,21,52,7,56
"Hombres (046)",555,20,,162,295,11,29,6,32
"Mujeres (047)",193,13,,36,86,10,23,1,24
"No PEA (048)",28740,3282,598,14752,8394,709,291,497,217
"Hombres (049)",10658,456,270,5799,3463,270,63,249,88
"Mujeres (050)",18082,2826,328,8953,4931,439,228,248,129
