"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CUTERVO (000)",40412,860,14059,13245,9190,3058
"Empleado (001)",4069,12,1014,2124,891,28
"Obrero (002)",6435,101,2513,2033,1396,392
"Trabajador independiente (003)",19176,134,4966,6523,5424,2129
"Empleador o patrono (004)",453,2,91,164,146,50
"Trabajador familiar no remunerado (005)",7493,475,3967,1724,977,350
"Trabajador del hogar (006)",1110,50,543,268,193,56
"Desocupado (008)",1676,86,965,409,163,53
"Hombres (009)",32555,638,11213,10471,7548,2685
"Empleado (010)",2361,9,537,1229,567,19
"Obrero (011)",5769,96,2278,1808,1230,357
"Trabajador independiente (012)",17033,114,4362,5743,4849,1965
"Empleador o patrono (013)",399,1,80,146,129,43
"Trabajador familiar no remunerado (014)",5705,361,3255,1223,618,248
"Trabajador del hogar (015)",32,3,18,5,4,2
"Desocupado (017)",1256,54,683,317,151,51
"Mujeres (018)",7857,222,2846,2774,1642,373
"Empleado (019)",1708,3,477,895,324,9
"Obrero (020)",666,5,235,225,166,35
"Trabajador independiente (021)",2143,20,604,780,575,164
"Empleador o patrono (022)",54,1,11,18,17,7
"Trabajador familiar no remunerado (023)",1788,114,712,501,359,102
"Trabajador del hogar (024)",1078,47,525,263,189,54
"Desocupado (026)",420,32,282,92,12,2
,,,,,,
"URBANA (027)",9694,138,3039,3768,2255,494
"Empleado (028)",3117,8,739,1639,710,21
"Obrero (029)",1170,13,417,383,275,82
"Trabajador independiente (030)",3549,27,968,1241,1002,311
"Empleador o patrono (031)",108,,27,42,28,11
"Trabajador familiar no remunerado (032)",542,39,214,151,109,29
"Trabajador del hogar (033)",482,30,276,99,66,11
"Desocupado (035)",726,21,398,213,65,29
"Hombres (036)",6377,88,1943,2387,1561,398
"Empleado (037)",1748,7,389,903,432,17
"Obrero (038)",1042,13,381,335,240,73
"Trabajador independiente (039)",2655,23,746,880,755,251
"Empleador o patrono (040)",79,,21,33,19,6
"Trabajador familiar no remunerado (041)",315,30,123,85,55,22
"Trabajador del hogar (042)",15,2,9,2,1,1
"Desocupado (044)",523,13,274,149,59,28
"Mujeres (045)",3317,50,1096,1381,694,96
"Empleado (046)",1369,1,350,736,278,4
"Obrero (047)",128,,36,48,35,9
"Trabajador independiente (048)",894,4,222,361,247,60
"Empleador o patrono (049)",29,,6,9,9,5
"Trabajador familiar no remunerado (050)",227,9,91,66,54,7
"Trabajador del hogar (051)",467,28,267,97,65,10
"Desocupado (053)",203,8,124,64,6,1
,,,,,,
"RURAL (054)",30718,722,11020,9477,6935,2564
"Empleado (055)",952,4,275,485,181,7
"Obrero (056)",5265,88,2096,1650,1121,310
"Trabajador independiente (057)",15627,107,3998,5282,4422,1818
"Empleador o patrono (058)",345,2,64,122,118,39
"Trabajador familiar no remunerado (059)",6951,436,3753,1573,868,321
"Trabajador del hogar (060)",628,20,267,169,127,45
"Desocupado (062)",950,65,567,196,98,24
"Hombres (063)",26178,550,9270,8084,5987,2287
"Empleado (064)",613,2,148,326,135,2
"Obrero (065)",4727,83,1897,1473,990,284
"Trabajador independiente (066)",14378,91,3616,4863,4094,1714
"Empleador o patrono (067)",320,1,59,113,110,37
"Trabajador familiar no remunerado (068)",5390,331,3132,1138,563,226
"Trabajador del hogar (069)",17,1,9,3,3,1
"Desocupado (071)",733,41,409,168,92,23
"Mujeres (072)",4540,172,1750,1393,948,277
"Empleado (073)",339,2,127,159,46,5
"Obrero (074)",538,5,199,177,131,26
"Trabajador independiente (075)",1249,16,382,419,328,104
"Empleador o patrono (076)",25,1,5,9,8,2
"Trabajador familiar no remunerado (077)",1561,105,621,435,305,95
"Trabajador del hogar (078)",611,19,258,166,124,44
"Desocupado (080)",217,24,158,28,6,1
