"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia OXAPAMPA",,,,,,,,,
"Hogares (001)",19549,44,4750,41,42,13995,13,10,654
"Ocupantes presentes (002)",79447,143,17067,141,190,60759,41,17,1089
"Casa independiente",,,,,,,,,
"Hogares (004)",14407,38,4028,34,29,9811,9,9,449
"Ocupantes presentes (005)",58301,134,14699,123,130,42443,31,15,726
"Departamento en edificio",,,,,,,,,
"Hogares (007)",62,2,44,,,,,,16
"Ocupantes presentes (008)",178,2,153,,,,,,23
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",399,1,328,1,,,,,69
"Ocupantes presentes (011)",1242,4,1114,1,,,,,123
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",365,3,200,4,2,80,1,,75
"Ocupantes presentes (014)",1142,3,620,8,13,385,1,,112
"Choza o cabaña",,,,,,,,,
"Hogares (016)",4152,,85,1,11,4020,3,,32
"Ocupantes presentes (017)",17996,,247,8,47,17603,9,,82
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",89,,41,,,47,,,1
"Ocupantes presentes (020)",350,,158,,,191,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",47,,20,,,22,,1,4
"Ocupantes presentes (023)",162,,61,,,88,,2,11
"Otro tipo",,,,,,,,,
"Hogares (025)",28,,4,1,,15,,,8
"Ocupantes presentes (026)",76,,15,1,,49,,,11
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",7382,34,3888,25,22,2909,4,10,490
"Ocupantes presentes (029)",28409,106,14217,75,112,13047,11,17,824
"Casa independiente",,,,,,,,,
"Hogares (031)",6422,28,3258,19,20,2767,3,9,318
"Ocupantes presentes (032)",25363,97,12118,65,99,12415,10,15,544
"Departamento en edificio",,,,,,,,,
"Hogares (034)",62,2,44,,,,,,16
"Ocupantes presentes (035)",178,2,153,,,,,,23
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",399,1,328,1,,,,,69
"Ocupantes presentes (038)",1242,4,1114,1,,,,,123
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",365,3,200,4,2,80,1,,75
"Ocupantes presentes (041)",1142,3,620,8,13,385,1,,112
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",89,,41,,,47,,,1
"Ocupantes presentes (047)",350,,158,,,191,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",25,,13,,,8,,1,3
"Ocupantes presentes (050)",80,,39,,,29,,2,10
"Otro tipo",,,,,,,,,
"Hogares (052)",20,,4,1,,7,,,8
"Ocupantes presentes (053)",54,,15,1,,27,,,11
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",12167,10,862,16,20,11086,9,,164
"Ocupantes presentes (056)",51038,37,2850,66,78,47712,30,,265
"Casa independiente",,,,,,,,,
"Hogares (058)",7985,10,770,15,9,7044,6,,131
"Ocupantes presentes (059)",32938,37,2581,58,31,30028,21,,182
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",4152,,85,1,11,4020,3,,32
"Ocupantes presentes (071)",17996,,247,8,47,17603,9,,82
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",22,,7,,,14,,,1
"Ocupantes presentes (077)",82,,22,,,59,,,1
"Otro tipo",,,,,,,,,
"Hogares (079)",8,,,,,8,,,
"Ocupantes presentes (080)",22,,,,,22,,,
