"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ACOBAMBA (000)",16591,286,5866,5526,3799,1114
"Agric., ganadería, caza y silvicultura (001)",11794,224,4033,3663,2938,936
"Pesca (002)",4,1,1,2,,
"Explotación de minas y canteras (003)",25,,14,9,1,1
"Industrias manufactureras (004)",168,2,84,57,22,3
"Suministro de electricidad, gas y agua (005)",9,,4,2,3,
"Construcción (006)",260,2,71,117,64,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",985,19,348,396,180,42
"Venta, mant.y rep. veh.autom.y motoc. (008)",39,1,21,15,2,
"Comercio al por mayor (009)",33,,8,17,7,1
"Comercio al por menor (010)",913,18,319,364,171,41
"Hoteles y restaurantes (011)",217,3,80,80,48,6
"Trans., almac. y comunicaciones (012)",181,,68,83,25,5
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",94,,32,48,11,3
"Admin.pub. y defensa; p. segur.soc afil (015)",255,,105,100,47,3
"Enseñanza (016)",634,,143,351,135,5
"Servicios sociales y de salud (017)",158,,64,75,19,
"Otras activ. serv.comun.soc y personales (018)",75,1,36,30,8,
"Hogares privados con servicio doméstico (019)",78,7,45,18,7,1
"Actividad economica no especificada (021)",472,3,167,141,113,48
"Desocupado (022)",1181,24,570,354,178,55
"Hombres (023)",11320,151,3888,3882,2644,755
"Agric., ganadería, caza y silvicultura (024)",8270,120,2763,2684,2064,639
"Pesca (025)",1,1,,,,
"Explotación de minas y canteras (026)",25,,14,9,1,1
"Industrias manufactureras (027)",131,1,63,45,19,3
"Suministro de electricidad, gas y agua (028)",8,,3,2,3,
"Construcción (029)",250,1,66,113,64,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",495,10,184,195,84,22
"Venta, mant.y rep. veh.autom.y motoc. (031)",35,1,19,14,1,
"Comercio al por mayor (032)",18,,4,9,4,1
"Comercio al por menor (033)",442,9,161,172,79,21
"Hoteles y restaurantes (034)",66,,25,19,19,3
"Trans., almac. y comunicaciones (035)",174,,66,81,24,3
"Intermediación financiera (036)",1,,1,,,
"Activid.inmobil., empres. y alquileres (037)",74,,20,42,9,3
"Admin.pub. y defensa; p. segur.soc afil (038)",207,,80,83,41,3
"Enseñanza (039)",362,,59,208,91,4
"Servicios sociales y de salud (040)",71,,24,33,14,
"Otras activ. serv.comun.soc y personales (041)",41,1,18,17,5,
