"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia HUAYLAS (000)",17787,15565,12729,998,1838,2222,42,424,1569,187
"Casa independiente (001)",17515,15312,12527,970,1815,2203,42,424,1552,185
"Departamento en edificio (002)",35,35,28,7,,,,,,
"Vivienda en quinta (003)",51,51,45,6,,,,,,
"Vivienda en casa de vecindad (004)",54,51,45,6,,3,,,2,1
"Choza o cabaña (005)",108,96,73,6,17,12,,,11,1
"Vivienda improvisada (006)",14,10,1,3,6,4,,,4,
"Local no dest.para hab. humana (007)",8,8,8,,,,,,,
"Otro tipo (008)",2,2,2,,,,,,,
,,,,,,,,,,
"URBANA (009)",5719,5167,4224,575,368,552,33,143,345,31
"Casa independiente (010)",5563,5018,4103,553,362,545,33,143,339,30
"Departamento en edificio (011)",35,35,28,7,,,,,,
"Vivienda en quinta (012)",51,51,45,6,,,,,,
"Vivienda en casa de vecindad (013)",54,51,45,6,,3,,,2,1
"Vivienda improvisada (015)",14,10,1,3,6,4,,,4,
"Local no dest.para hab. humana (016)",2,2,2,,,,,,,
,,,,,,,,,,
"RURAL (018)",12068,10398,8505,423,1470,1670,9,281,1224,156
"Casa independiente (019)",11952,10294,8424,417,1453,1658,9,281,1213,155
"Choza o cabaña (023)",108,96,73,6,17,12,,,11,1
"Local no dest.para hab. humana (025)",6,6,6,,,,,,,
"Otro tipo (026)",2,2,2,,,,,,,
