"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia DOS DE MAYO (000)",691,244,447
"Sin nivel (001)",45,8,37
"Educación inicial (002)",4,,4
"Primaria (003)",274,92,182
"Secundaria (004)",226,82,144
"Superior no univ. incompleta (005)",25,9,16
"Superior no univ. completa (006)",91,41,50
"Superior univ. incompleta (007)",7,5,2
"Superior univ. completa (008)",19,7,12
"De 14 a 29 años (010)",395,197,198
"Sin nivel (011)",12,6,6
"Educación inicial (012)",3,,3
"Primaria (013)",128,68,60
"Secundaria (014)",158,72,86
"Superior no univ. incompleta (015)",21,8,13
"Superior no univ. completa (016)",58,33,25
"Superior univ. incompleta (017)",6,5,1
"Superior univ. completa (018)",9,5,4
"De 30 a 44 años (020)",181,39,142
"Sin nivel (021)",10,2,8
"Educación inicial (022)",1,,1
"Primaria (023)",78,19,59
"Secundaria (024)",52,9,43
"Superior no univ. incompleta (025)",3,1,2
"Superior no univ. completa (026)",27,6,21
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",9,2,7
"De 45 a 64 años (030)",87,8,79
"Sin nivel (031)",16,,16
"Primaria (033)",49,5,44
"Secundaria (034)",14,1,13
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",6,2,4
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",28,,28
"Sin nivel (041)",7,,7
"Primaria (043)",19,,19
"Secundaria (044)",2,,2
,,,
"AREA URBANA (050)",306,101,205
"Sin nivel (051)",12,1,11
"Educación inicial (052)",1,,1
"Primaria (053)",79,19,60
"Secundaria (054)",101,33,68
"Superior no univ. incompleta (055)",18,6,12
"Superior no univ. completa (056)",76,33,43
"Superior univ. incompleta (057)",6,4,2
"Superior univ. completa (058)",13,5,8
"De 14 a 29 años (060)",165,76,89
"Sin nivel (061)",3,1,2
"Educación inicial (062)",1,,1
"Primaria (063)",22,9,13
"Secundaria (064)",66,27,39
"Superior no univ. incompleta (065)",15,5,10
"Superior no univ. completa (066)",47,26,21
"Superior univ. incompleta (067)",5,4,1
"Superior univ. completa (068)",6,4,2
"De 30 a 44 años (070)",91,18,73
"Sin nivel (071)",1,,1
"Primaria (073)",29,5,24
"Secundaria (074)",28,6,22
"Superior no univ. incompleta (075)",2,1,1
"Superior no univ. completa (076)",23,5,18
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",7,1,6
"De 45 a 64 años (080)",42,7,35
"Sin nivel (081)",5,,5
"Primaria (083)",24,5,19
"Secundaria (084)",6,,6
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",6,2,4
"De 65 y más años (090)",8,,8
"Sin nivel (091)",3,,3
"Primaria (093)",4,,4
"Secundaria (094)",1,,1
,,,
"AREA RURAL (100)",385,143,242
"Sin nivel (101)",33,7,26
"Educación inicial (102)",3,,3
"Primaria (103)",195,73,122
"Secundaria (104)",125,49,76
"Superior no univ. incompleta (105)",7,3,4
"Superior no univ. completa (106)",15,8,7
"Superior univ. incompleta (107)",1,1,
"Superior univ. completa (108)",6,2,4
"De 14 a 29 años (110)",230,121,109
"Sin nivel (111)",9,5,4
"Educación inicial (112)",2,,2
"Primaria (113)",106,59,47
"Secundaria (114)",92,45,47
"Superior no univ. incompleta (115)",6,3,3
"Superior no univ. completa (116)",11,7,4
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",3,1,2
"De 30 a 44 años (120)",90,21,69
"Sin nivel (121)",9,2,7
"Educación inicial (122)",1,,1
"Primaria (123)",49,14,35
"Secundaria (124)",24,3,21
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",4,1,3
"Superior univ. completa (128)",2,1,1
"De 45 a 64 años (130)",45,1,44
"Sin nivel (131)",11,,11
"Primaria (133)",25,,25
"Secundaria (134)",8,1,7
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",20,,20
"Sin nivel (141)",4,,4
"Primaria (143)",15,,15
"Secundaria (144)",1,,1
