"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AIJA (000)",7445,1666,590,147,5043
"Quechua (001)",2807,499,88,62,2158
"Aymara (002)",3,,1,,2
"Otra lengua nativa (004)",4,,4,,
"Castellano (005)",4623,1167,497,85,2875
"Es Sordomudo/a (007)",8,,,,8
"Hombres (009)",3719,781,314,100,2525
"Quechua (010)",1343,225,50,44,1024
"Aymara (011)",1,,,,1
"Otra lengua nativa (013)",3,,3,,
"Castellano (014)",2370,556,261,56,1498
"Es Sordomudo/a (016)",2,,,,2
"Mujeres (018)",3726,885,276,47,2518
"Quechua (019)",1464,274,38,18,1134
"Aymara (020)",2,,1,,1
"Otra lengua nativa (022)",1,,1,,
"Castellano (023)",2253,611,236,29,1377
"Es Sordomudo/a (025)",6,,,,6
,,,,,
"URBANA (027)",2376,366,442,61,1508
"Quechua (028)",359,37,46,11,265
"Aymara (029)",1,,1,,
"Otra lengua nativa (031)",4,,4,,
"Castellano (032)",2012,329,391,50,1243
"Hombres (036)",1176,164,235,39,739
"Quechua (037)",170,15,27,8,120
"Otra lengua nativa (040)",3,,3,,
"Castellano (041)",1003,149,205,31,619
"Mujeres (045)",1200,202,207,22,769
"Quechua (046)",189,22,19,3,145
"Aymara (047)",1,,1,,
"Otra lengua nativa (049)",1,,1,,
"Castellano (050)",1009,180,186,19,624
,,,,,
"RURAL (054)",5069,1300,148,86,3535
"Quechua (055)",2448,462,42,51,1893
"Aymara (056)",2,,,,2
"Castellano (059)",2611,838,106,35,1632
"Es Sordomudo/a (061)",8,,,,8
"Hombres (063)",2543,617,79,61,1786
"Quechua (064)",1173,210,23,36,904
"Aymara (065)",1,,,,1
"Castellano (068)",1367,407,56,25,879
"Es Sordomudo/a (070)",2,,,,2
"Mujeres (072)",2526,683,69,25,1749
"Quechua (073)",1275,252,19,15,989
"Aymara (074)",1,,,,1
"Castellano (077)",1244,431,50,10,753
"Es Sordomudo/a (079)",6,,,,6
