"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PICOTA (000)",14442,11955,1348,647,492
"Agric., ganadería, caza y silvicultura (001)",9277,8133,875,235,34
"Pesca (002)",4,4,,,
"Explotación de minas y canteras (003)",2,1,1,,
"Industrias manufactureras (004)",410,310,60,29,11
"Suministro de electricidad, gas y agua (005)",26,11,2,10,3
"Construcción (006)",396,224,83,75,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1292,1222,51,16,3
"Venta, mant.y rep. veh.autom y motoc. (008)",138,127,6,3,2
"Comercio al por mayor (009)",58,50,5,2,1
"Comercio al por menor (010)",1096,1045,40,11,
"Hoteles y restaurantes (011)",458,406,40,10,2
"Trans., almac. y comunicaciones (012)",530,450,42,22,16
"Intermediación financiera (013)",2,,1,,1
"Activid.inmobil., empres. y alquileres (014)",134,68,18,36,12
"Admin.pub. y defensa; p. segur soc.afil (015)",248,,,,248
"Enseñanza (016)",472,127,117,190,38
"Servicios sociales y de salud (017)",118,24,6,4,84
"Otras activ. serv.comun.soc y personales (018)",121,93,18,6,4
"Hogares privados con servicio doméstico (019)",546,546,,,
"Actividad economica no especificada (021)",406,336,34,14,22
"Hombres (022)",11004,9002,1142,509,351
"Agric., ganadería, caza y silvicultura (023)",8048,7030,788,207,23
"Pesca (024)",4,4,,,
"Explotación de minas y canteras (025)",1,,1,,
"Industrias manufactureras (026)",328,237,54,27,10
"Suministro de electricidad, gas y agua (027)",24,10,2,9,3
"Construcción (028)",388,221,80,73,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",741,691,36,12,2
"Venta, mant.y rep. veh.autom y motoc. (030)",128,117,6,3,2
"Comercio al por mayor (031)",37,32,3,2,
"Comercio al por menor (032)",576,542,27,7,
"Hoteles y restaurantes (033)",64,48,13,2,1
"Trans., almac. y comunicaciones (034)",514,435,42,22,15
"Activid.inmobil., empres. y alquileres (036)",103,51,15,29,8
"Admin.pub. y defensa; p. segur soc.afil (037)",183,,,,183
"Enseñanza (038)",269,53,75,113,28
"Servicios sociales y de salud (039)",63,16,2,3,42
"Otras activ. serv.comun.soc y personales (040)",61,42,12,5,2
"Hogares privados con servicio doméstico (041)",23,23,,,
"Actividad economica no especificada (043)",190,141,22,7,20
"Mujeres (044)",3438,2953,206,138,141
