"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PACASMAYO (000)",83925,16554,23928,19800,16555,7088
"Hombres (001)",41375,8290,11803,9512,8204,3566
"Mujeres (002)",42550,8264,12125,10288,8351,3522
"PEA (003)",33298,394,10172,12144,9099,1489
"Hombres (004)",24085,278,7368,8536,6727,1176
"Mujeres (005)",9213,116,2804,3608,2372,313
"Ocupada (006)",31502,356,9262,11687,8767,1430
"Hombres (007)",22765,255,6739,8207,6437,1127
"Mujeres (008)",8737,101,2523,3480,2330,303
"Desocupada (009)",1796,38,910,457,332,59
"Hombres (010)",1320,23,629,329,290,49
"Mujeres (011)",476,15,281,128,42,10
"No PEA (012)",50627,16160,13756,7656,7456,5599
"Hombres (013)",17290,8012,4435,976,1477,2390
"Mujeres (014)",33337,8148,9321,6680,5979,3209
,,,,,,
"URBANA (018)",78089,15340,22133,18579,15411,6626
"Hombres (019)",38364,7675,10879,8895,7601,3314
"Mujeres (020)",39725,7665,11254,9684,7810,3312
"PEA (021)",30939,349,9299,11428,8493,1370
"Hombres (022)",22097,241,6655,7940,6198,1063
"Mujeres (023)",8842,108,2644,3488,2295,307
"Ocupada (024)",29336,321,8498,11005,8197,1315
"Hombres (025)",20921,226,6099,7642,5937,1017
"Mujeres (026)",8415,95,2399,3363,2260,298
"Desocupada (027)",1603,28,801,423,296,55
"Hombres (028)",1176,15,556,298,261,46
"Mujeres (029)",427,13,245,125,35,9
"No PEA (030)",47150,14991,12834,7151,6918,5256
"Hombres (031)",16267,7434,4224,955,1403,2251
"Mujeres (032)",30883,7557,8610,6196,5515,3005
,,,,,,
"RURAL (036)",5836,1214,1795,1221,1144,462
"Hombres (037)",3011,615,924,617,603,252
"Mujeres (038)",2825,599,871,604,541,210
"PEA (039)",2359,45,873,716,606,119
"Hombres (040)",1988,37,713,596,529,113
"Mujeres (041)",371,8,160,120,77,6
"Ocupada (042)",2166,35,764,682,570,115
"Hombres (043)",1844,29,640,565,500,110
"Mujeres (044)",322,6,124,117,70,5
"Desocupada (045)",193,10,109,34,36,4
"Hombres (046)",144,8,73,31,29,3
"Mujeres (047)",49,2,36,3,7,1
"No PEA (048)",3477,1169,922,505,538,343
"Hombres (049)",1023,578,211,21,74,139
"Mujeres (050)",2454,591,711,484,464,204
