"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia GRAU (000)",24865,527,9188,4838,4106,3736,2470
"Jefe o Jefa (001)",7031,,24,1071,2101,2228,1607
"Esposa(o) / compañera(o) (002)",4295,,11,932,1556,1267,529
"Hijo(a) / hijastro(a) (003)",11049,427,8025,2246,263,84,4
"Yerno / nuera (004)",184,,7,126,42,8,1
"Nieto(a) (005)",886,79,705,97,4,1,
"Padres / suegros (006)",276,,,,1,41,234
"Otro(a) pariente (007)",848,17,367,227,82,79,76
"Trabajador(a) del hogar (008)",38,,7,25,5,1,
"Pensionistas (009)",1,,,1,,,
"Otro(a) no pariente (010)",257,4,42,113,52,27,19
"Hombres (011)",12601,260,4774,2489,2060,1871,1147
"Jefe o Jefa (012)",5174,,10,787,1695,1686,996
"Esposa(o) / compañera(o) (013)",220,,5,37,90,52,36
"Hijo(a) / hijastro(a) (014)",5913,213,4156,1342,151,48,3
"Yerno / nuera (015)",81,,2,45,28,6,
"Nieto(a) (016)",472,36,380,53,3,,
"Padres / suegros (017)",75,,,,1,8,66
"Otro(a) pariente (018)",474,9,189,143,50,51,32
"Trabajador(a) del hogar (019)",11,,5,6,,,
"Pensionistas (020)",1,,,1,,,
"Otro(a) no pariente (021)",180,2,27,75,42,20,14
"Mujeres (022)",12264,267,4414,2349,2046,1865,1323
"Jefe o Jefa (023)",1857,,14,284,406,542,611
"Esposa(o) / compañera(o) (024)",4075,,6,895,1466,1215,493
"Hijo(a) / hijastro(a) (025)",5136,214,3869,904,112,36,1
"Yerno / nuera (026)",103,,5,81,14,2,1
"Nieto(a) (027)",414,43,325,44,1,1,
"Padres / suegros (028)",201,,,,,33,168
"Otro(a) pariente (029)",374,8,178,84,32,28,44
"Trabajador(a) del hogar (030)",27,,2,19,5,1,
"Otro(a) no pariente (032)",77,2,15,38,10,7,5
,,,,,,,
"URBANA (033)",9850,198,3510,2244,1736,1351,811
"Jefe o Jefa (034)",2862,,16,573,932,819,522
"Esposa(o) / compañera(o) (035)",1634,,2,430,614,436,152
"Hijo(a) / hijastro(a) (036)",4292,172,3058,926,98,38,
"Yerno / nuera (037)",62,,,45,15,2,
"Nieto(a) (038)",304,21,244,36,2,1,
"Padres / suegros (039)",119,,,,,16,103
"Otro(a) pariente (040)",371,3,159,124,37,25,23
"Trabajador(a) del hogar (041)",33,,6,23,4,,
"Otro(a) no pariente (043)",173,2,25,87,34,14,11
"Hombres (044)",4871,98,1760,1131,857,678,347
"Jefe o Jefa (045)",2037,,7,401,715,613,301
"Esposa(o) / compañera(o) (046)",71,,,21,31,13,6
"Hijo(a) / hijastro(a) (047)",2212,87,1517,537,50,21,
"Yerno / nuera (048)",26,,,15,10,1,
"Nieto(a) (049)",169,9,138,21,1,,
"Padres / suegros (050)",32,,,,,4,28
"Otro(a) pariente (051)",195,1,75,75,21,17,6
"Trabajador(a) del hogar (052)",9,,4,5,,,
"Otro(a) no pariente (054)",120,1,19,56,29,9,6
"Mujeres (055)",4979,100,1750,1113,879,673,464
"Jefe o Jefa (056)",825,,9,172,217,206,221
"Esposa(o) / compañera(o) (057)",1563,,2,409,583,423,146
"Hijo(a) / hijastro(a) (058)",2080,85,1541,389,48,17,
"Yerno / nuera (059)",36,,,30,5,1,
"Nieto(a) (060)",135,12,106,15,1,1,
"Padres / suegros (061)",87,,,,,12,75
"Otro(a) pariente (062)",176,2,84,49,16,8,17
"Trabajador(a) del hogar (063)",24,,2,18,4,,
"Otro(a) no pariente (065)",53,1,6,31,5,5,5
,,,,,,,
"RURAL (066)",15015,329,5678,2594,2370,2385,1659
"Jefe o Jefa (067)",4169,,8,498,1169,1409,1085
"Esposa(o) / compañera(o) (068)",2661,,9,502,942,831,377
"Hijo(a) / hijastro(a) (069)",6757,255,4967,1320,165,46,4
"Yerno / nuera (070)",122,,7,81,27,6,1
"Nieto(a) (071)",582,58,461,61,2,,
"Padres / suegros (072)",157,,,,1,25,131
"Otro(a) pariente (073)",477,14,208,103,45,54,53
"Trabajador(a) del hogar (074)",5,,1,2,1,1,
"Pensionistas (075)",1,,,1,,,
"Otro(a) no pariente (076)",84,2,17,26,18,13,8
"Hombres (077)",7730,162,3014,1358,1203,1193,800
"Jefe o Jefa (078)",3137,,3,386,980,1073,695
"Esposa(o) / compañera(o) (079)",149,,5,16,59,39,30
"Hijo(a) / hijastro(a) (080)",3701,126,2639,805,101,27,3
"Yerno / nuera (081)",55,,2,30,18,5,
"Nieto(a) (082)",303,27,242,32,2,,
"Padres / suegros (083)",43,,,,1,4,38
"Otro(a) pariente (084)",279,8,114,68,29,34,26
"Trabajador(a) del hogar (085)",2,,1,1,,,
"Pensionistas (086)",1,,,1,,,
"Otro(a) no pariente (087)",60,1,8,19,13,11,8
"Mujeres (088)",7285,167,2664,1236,1167,1192,859
"Jefe o Jefa (089)",1032,,5,112,189,336,390
"Esposa(o) / compañera(o) (090)",2512,,4,486,883,792,347
"Hijo(a) / hijastro(a) (091)",3056,129,2328,515,64,19,1
"Yerno / nuera (092)",67,,5,51,9,1,1
"Nieto(a) (093)",279,31,219,29,,,
"Padres / suegros (094)",114,,,,,21,93
"Otro(a) pariente (095)",198,6,94,35,16,20,27
"Trabajador(a) del hogar (096)",3,,,1,1,1,
"Otro(a) no pariente (098)",24,1,9,7,5,2,
