"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VICTOR FAJARDO (000)",23946,11957,2900,435,8668
"Quechua (001)",20647,10731,1858,311,7754
"Aymara (002)",37,11,7,1,18
"Asháninka (003)",2,,,,2
"Otra lengua nativa (004)",9,,6,,3
"Castellano (005)",3213,1197,1028,122,873
"Es Sordomudo/a (007)",38,18,1,1,18
"Hombres (009)",11544,5431,1688,279,4156
"Quechua (010)",9692,4839,1006,190,3662
"Aymara (011)",17,8,5,1,3
"Asháninka (012)",1,,,,1
"Otra lengua nativa (013)",7,,6,,1
"Castellano (014)",1806,576,670,87,478
"Es Sordomudo/a (016)",21,8,1,1,11
"Mujeres (018)",12402,6526,1212,156,4512
"Quechua (019)",10955,5892,852,121,4092
"Aymara (020)",20,3,2,,15
"Asháninka (021)",1,,,,1
"Otra lengua nativa (022)",2,,,,2
"Castellano (023)",1407,621,358,35,395
"Es Sordomudo/a (025)",17,10,,,7
,,,,,
"URBANA (027)",17845,8599,2630,328,6302
"Quechua (028)",14988,7536,1669,245,5545
"Aymara (029)",25,3,7,1,14
"Asháninka (030)",2,,,,2
"Otra lengua nativa (031)",8,,6,,2
"Castellano (032)",2797,1045,947,82,730
"Es Sordomudo/a (034)",25,15,1,,9
"Hombres (036)",8670,3876,1550,205,3049
"Quechua (037)",7062,3369,915,145,2638
"Aymara (038)",12,3,5,1,3
"Asháninka (039)",1,,,,1
"Otra lengua nativa (040)",6,,6,,
"Castellano (041)",1574,497,623,59,400
"Es Sordomudo/a (043)",15,7,1,,7
"Mujeres (045)",9175,4723,1080,123,3253
"Quechua (046)",7926,4167,754,100,2907
"Aymara (047)",13,,2,,11
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",2,,,,2
"Castellano (050)",1223,548,324,23,330
"Es Sordomudo/a (052)",10,8,,,2
,,,,,
"RURAL (054)",6101,3358,270,107,2366
"Quechua (055)",5659,3195,189,66,2209
"Aymara (056)",12,8,,,4
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",416,152,81,40,143
"Es Sordomudo/a (061)",13,3,,1,9
"Hombres (063)",2874,1555,138,74,1107
"Quechua (064)",2630,1470,91,45,1024
"Aymara (065)",5,5,,,
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",232,79,47,28,78
"Es Sordomudo/a (070)",6,1,,1,4
"Mujeres (072)",3227,1803,132,33,1259
"Quechua (073)",3029,1725,98,21,1185
"Aymara (074)",7,3,,,4
"Castellano (077)",184,73,34,12,65
"Es Sordomudo/a (079)",7,2,,,5
