"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PALPA (000)",4963,4609,1212,740,740,547,624,384,362,354
"Católica (001)",4494,4174,1117,685,672,495,558,336,311,320
"Cristiana/Evangélica (002)",366,341,69,43,50,42,51,40,46,25
"Otra (003)",59,54,15,7,8,6,10,4,4,5
"Ninguna (004)",44,40,11,5,10,4,5,4,1,4
,,,,,,,,,,
"URBANA (006)",3364,3104,838,519,515,389,408,241,194,260
"Católica (007)",3025,2794,761,475,470,349,359,211,169,231
"Cristiana/Evangélica (008)",253,233,57,33,31,30,36,25,21,20
"Otra (009)",53,48,15,6,6,6,9,3,3,5
"Ninguna (010)",33,29,5,5,8,4,4,2,1,4
,,,,,,,,,,
"RURAL (012)",1599,1505,374,221,225,158,216,143,168,94
"Católica (013)",1469,1380,356,210,202,146,199,125,142,89
"Cristiana/Evangélica (014)",113,108,12,10,19,12,15,15,25,5
"Otra (015)",6,6,,1,2,,1,1,1,
"Ninguna (016)",11,11,6,,2,,1,2,,
