"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TAMBOPATA (000)",72942,3590,16205,16950,13728,10615,6647,3026,2181
"Quechua (001)",10202,29,331,1652,2425,2551,1757,810,647
"Aymara (002)",586,4,11,59,120,177,143,41,31
"Ashaninca (003)",14,,1,3,2,6,2,,
"Otra lengua nativa (004)",481,6,142,108,83,68,28,22,24
"Castellano (005)",61387,3544,15686,15095,11042,7773,4679,2107,1461
"Idioma extranjero (006)",197,3,12,11,45,35,32,43,16
"Es sordomudo/a (007)",75,4,22,22,11,5,6,3,2
"Hombres (009)",38567,1791,8237,8441,7074,5821,4060,1833,1310
"Quechua (010)",5639,14,167,823,1306,1379,1047,482,421
"Aymara (011)",354,2,6,29,65,105,103,27,17
"Ashaninca (012)",8,,,2,1,4,1,,
"Otra lengua nativa (013)",240,6,61,55,36,36,17,14,15
"Castellano (014)",32179,1765,7984,7513,5635,4278,2869,1286,849
"Idioma extranjero (015)",104,2,6,7,27,16,18,21,7
"Es sordomudo/a (016)",43,2,13,12,4,3,5,3,1
"Mujeres (018)",34375,1799,7968,8509,6654,4794,2587,1193,871
"Quechua (019)",4563,15,164,829,1119,1172,710,328,226
"Aymara (020)",232,2,5,30,55,72,40,14,14
"Ashaninca (021)",6,,1,1,1,2,1,,
"Otra lengua nativa (022)",241,,81,53,47,32,11,8,9
"Castellano (023)",29208,1779,7702,7582,5407,3495,1810,821,612
"Idioma extranjero (024)",93,1,6,4,18,19,14,22,9
"Es sordomudo/a (025)",32,2,9,10,7,2,1,,1
,,,,,,,,,
"URBANA (027)",60831,2950,13838,14248,11379,8878,5518,2414,1606
"Quechua (028)",8109,21,265,1299,1944,2094,1411,622,453
"Aymara (029)",484,2,6,51,100,150,118,31,26
"Ashaninca (030)",10,,1,3,1,3,2,,
"Otra lengua nativa (031)",187,3,66,48,31,19,10,4,6
"Castellano (032)",51805,2917,13467,12823,9259,6577,3942,1716,1104
"Idioma extranjero (033)",170,3,12,9,33,30,29,39,15
"Es sordomudo/a (034)",66,4,21,15,11,5,6,2,2
"Hombres (036)",31325,1487,7031,6882,5628,4695,3275,1421,906
"Quechua (037)",4310,9,127,619,1009,1097,819,354,276
"Aymara (038)",284,1,2,24,55,88,82,19,13
"Ashaninca (039)",6,,,2,,3,1,,
"Otra lengua nativa (040)",86,3,32,21,9,9,6,3,3
"Castellano (041)",26516,1470,6852,6202,4531,3482,2347,1025,607
"Idioma extranjero (042)",85,2,6,5,20,13,15,18,6
"Es sordomudo/a (043)",38,2,12,9,4,3,5,2,1
"Mujeres (045)",29506,1463,6807,7366,5751,4183,2243,993,700
"Quechua (046)",3799,12,138,680,935,997,592,268,177
"Aymara (047)",200,1,4,27,45,62,36,12,13
"Ashaninca (048)",4,,1,1,1,,1,,
"Otra lengua nativa (049)",101,,34,27,22,10,4,1,3
"Castellano (050)",25289,1447,6615,6621,4728,3095,1595,691,497
"Idioma extranjero (051)",85,1,6,4,13,17,14,21,9
"Es sordomudo/a (052)",28,2,9,6,7,2,1,,1
,,,,,,,,,
"RURAL (054)",12111,640,2367,2702,2349,1737,1129,612,575
"Quechua (055)",2093,8,66,353,481,457,346,188,194
"Aymara (056)",102,2,5,8,20,27,25,10,5
"Ashaninca (057)",4,,,,1,3,,,
"Otra lengua nativa (058)",294,3,76,60,52,49,18,18,18
"Castellano (059)",9582,627,2219,2272,1783,1196,737,391,357
"Idioma extranjero (060)",27,,,2,12,5,3,4,1
"Es sordomudo/a (061)",9,,1,7,,,,1,
"Hombres (063)",7242,304,1206,1559,1446,1126,785,412,404
"Quechua (064)",1329,5,40,204,297,282,228,128,145
"Aymara (065)",70,1,4,5,10,17,21,8,4
"Ashaninca (066)",2,,,,1,1,,,
"Otra lengua nativa (067)",154,3,29,34,27,27,11,11,12
"Castellano (068)",5663,295,1132,1311,1104,796,522,261,242
"Idioma extranjero (069)",19,,,2,7,3,3,3,1
"Es sordomudo/a (070)",5,,1,3,,,,1,
"Mujeres (072)",4869,336,1161,1143,903,611,344,200,171
"Quechua (073)",764,3,26,149,184,175,118,60,49
"Aymara (074)",32,1,1,3,10,10,4,2,1
"Ashaninca (075)",2,,,,,2,,,
"Otra lengua nativa (076)",140,,47,26,25,22,7,7,6
"Castellano (077)",3919,332,1087,961,679,400,215,130,115
"Idioma extranjero (078)",8,,,,5,2,,1,
"Es sordomudo/a (079)",4,,,4,,,,,
