"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCAYO (000)",180744,2756,59948,64786,44766,8488
"Empleado (001)",55524,325,20207,22040,12205,747
"Obrero (002)",22378,325,8606,7522,5018,907
"Trabajador independiente (003)",74811,525,19476,27252,22068,5490
"Empleador o patrono (004)",3897,5,909,1554,1169,260
"Trabajador familiar no remunerado (005)",12036,1332,4411,3022,2478,793
"Trabajador del hogar (006)",3543,153,1820,919,566,85
"Desocupado (008)",8555,91,4519,2477,1262,206
"Hombres (009)",105217,1644,34491,36941,26628,5513
"Empleado (010)",29630,175,9970,11738,7203,544
"Obrero (011)",18170,268,7134,6020,4049,699
"Trabajador independiente (012)",44785,361,11999,15815,13019,3591
"Empleador o patrono (013)",2628,2,603,1055,776,192
"Trabajador familiar no remunerado (014)",4572,763,2135,784,594,296
"Trabajador del hogar (015)",170,20,86,24,29,11
"Desocupado (017)",5262,55,2564,1505,958,180
"Mujeres (018)",75527,1112,25457,27845,18138,2975
"Empleado (019)",25894,150,10237,10302,5002,203
"Obrero (020)",4208,57,1472,1502,969,208
"Trabajador independiente (021)",30026,164,7477,11437,9049,1899
"Empleador o patrono (022)",1269,3,306,499,393,68
"Trabajador familiar no remunerado (023)",7464,569,2276,2238,1884,497
"Trabajador del hogar (024)",3373,133,1734,895,537,74
"Desocupado (026)",3293,36,1955,972,304,26
,,,,,,
"URBANA (027)",162430,2232,54047,59087,40158,6906
"Empleado (028)",54082,311,19571,21523,11945,732
"Obrero (029)",19205,285,7465,6457,4265,733
"Trabajador independiente (030)",65710,477,17266,24282,19306,4379
"Empleador o patrono (031)",3661,3,865,1463,1101,229
"Trabajador familiar no remunerado (032)",8613,929,3068,2207,1834,575
"Trabajador del hogar (033)",3352,148,1714,874,539,77
"Desocupado (035)",7807,79,4098,2281,1168,181
"Hombres (036)",93028,1338,30674,33088,23515,4413
"Empleado (037)",28783,173,9648,11416,7011,535
"Obrero (038)",15733,239,6238,5199,3483,574
"Trabajador independiente (039)",38151,328,10469,13617,10983,2754
"Empleador o patrono (040)",2455,1,571,991,723,169
"Trabajador familiar no remunerado (041)",3041,532,1391,500,406,212
"Trabajador del hogar (042)",158,20,79,21,28,10
"Desocupado (044)",4707,45,2278,1344,881,159
"Mujeres (045)",69402,894,23373,25999,16643,2493
"Empleado (046)",25299,138,9923,10107,4934,197
"Obrero (047)",3472,46,1227,1258,782,159
"Trabajador independiente (048)",27559,149,6797,10665,8323,1625
"Empleador o patrono (049)",1206,2,294,472,378,60
"Trabajador familiar no remunerado (050)",5572,397,1677,1707,1428,363
"Trabajador del hogar (051)",3194,128,1635,853,511,67
"Desocupado (053)",3100,34,1820,937,287,22
,,,,,,
"RURAL (054)",18314,524,5901,5699,4608,1582
"Empleado (055)",1442,14,636,517,260,15
"Obrero (056)",3173,40,1141,1065,753,174
"Trabajador independiente (057)",9101,48,2210,2970,2762,1111
"Empleador o patrono (058)",236,2,44,91,68,31
"Trabajador familiar no remunerado (059)",3423,403,1343,815,644,218
"Trabajador del hogar (060)",191,5,106,45,27,8
"Desocupado (062)",748,12,421,196,94,25
"Hombres (063)",12189,306,3817,3853,3113,1100
"Empleado (064)",847,2,322,322,192,9
"Obrero (065)",2437,29,896,821,566,125
"Trabajador independiente (066)",6634,33,1530,2198,2036,837
"Empleador o patrono (067)",173,1,32,64,53,23
"Trabajador familiar no remunerado (068)",1531,231,744,284,188,84
"Trabajador del hogar (069)",12,,7,3,1,1
"Desocupado (071)",555,10,286,161,77,21
"Mujeres (072)",6125,218,2084,1846,1495,482
"Empleado (073)",595,12,314,195,68,6
"Obrero (074)",736,11,245,244,187,49
"Trabajador independiente (075)",2467,15,680,772,726,274
"Empleador o patrono (076)",63,1,12,27,15,8
"Trabajador familiar no remunerado (077)",1892,172,599,531,456,134
"Trabajador del hogar (078)",179,5,99,42,26,7
"Desocupado (080)",193,2,135,35,17,4
