"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUANCANE (000)",37771,18594,376,302,17467,386,8,58,89,491
"Hombres (001)",15645,9762,290,157,4863,183,5,34,89,262
"Mujeres (002)",22126,8832,86,145,12604,203,3,24,,229
"De 06 a 14 años (003)",13659,13057,,,305,137,,5,,155
"Hombres (004)",6952,6663,,,135,74,,2,,78
"Mujeres (005)",6707,6394,,,170,63,,3,,77
"De 15 a 29 años (006)",9522,5408,4,68,3848,,2,11,88,93
"Hombres (007)",4336,3016,2,33,1128,,2,9,88,58
"Mujeres (008)",5186,2392,2,35,2720,,,2,,35
"De 30 a 44 años (009)",4302,106,7,73,4045,,4,12,1,54
"Hombres (010)",1143,70,6,34,989,,2,7,1,34
"Mujeres (011)",3159,36,1,39,3056,,2,5,,20
"De 45 a 64 años (012)",4919,21,65,74,4675,5,2,9,,68
"Hombres (013)",1293,12,45,37,1158,,1,5,,35
"Mujeres (014)",3626,9,20,37,3517,5,1,4,,33
"De 65 y más años (015)",5369,2,300,87,4594,244,,21,,121
"Hombres (016)",1921,1,237,53,1453,109,,11,,57
"Mujeres (017)",3448,1,63,34,3141,135,,10,,64
,,,,,,,,,,
"AREA URBANA (018)",7203,3798,83,116,2909,78,1,2,80,136
"Hombres (019)",3218,1986,68,56,910,42,1,,80,75
"Mujeres (020)",3985,1812,15,60,1999,36,,2,,61
"De 06 a 14 años (021)",2558,2396,,,95,32,,,,35
"Hombres (022)",1331,1253,,,47,16,,,,15
"Mujeres (023)",1227,1143,,,48,16,,,,20
"De 15 a 29 años (024)",2350,1341,2,23,859,,,1,79,45
"Hombres (025)",1107,692,1,10,297,,,,79,28
"Mujeres (026)",1243,649,1,13,562,,,1,,17
"De 30 a 44 años (027)",932,50,2,28,834,,,,1,17
"Hombres (028)",270,34,2,12,210,,,,1,11
"Mujeres (029)",662,16,,16,624,,,,,6
"De 45 a 64 años (030)",757,11,23,28,668,1,1,,,25
"Hombres (031)",248,7,19,11,195,,1,,,15
"Mujeres (032)",509,4,4,17,473,1,,,,10
"De 65 y más años (033)",606,,56,37,453,45,,1,,14
"Hombres (034)",262,,46,23,161,26,,,,6
"Mujeres (035)",344,,10,14,292,19,,1,,8
,,,,,,,,,,
"AREA RURAL (036)",30568,14796,293,186,14558,308,7,56,9,355
"Hombres (037)",12427,7776,222,101,3953,141,4,34,9,187
"Mujeres (038)",18141,7020,71,85,10605,167,3,22,,168
"De 06 a 14 años (039)",11101,10661,,,210,105,,5,,120
"Hombres (040)",5621,5410,,,88,58,,2,,63
"Mujeres (041)",5480,5251,,,122,47,,3,,57
"De 15 a 29 años (042)",7172,4067,2,45,2989,,2,10,9,48
"Hombres (043)",3229,2324,1,23,831,,2,9,9,30
"Mujeres (044)",3943,1743,1,22,2158,,,1,,18
"De 30 a 44 años (045)",3370,56,5,45,3211,,4,12,,37
"Hombres (046)",873,36,4,22,779,,2,7,,23
"Mujeres (047)",2497,20,1,23,2432,,2,5,,14
"De 45 a 64 años (048)",4162,10,42,46,4007,4,1,9,,43
"Hombres (049)",1045,5,26,26,963,,,5,,20
"Mujeres (050)",3117,5,16,20,3044,4,1,4,,23
"De 65 y más años (051)",4763,2,244,50,4141,199,,20,,107
"Hombres (052)",1659,1,191,30,1292,83,,11,,51
"Mujeres (053)",3104,1,53,20,2849,116,,9,,56
