"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia SAN PABLO",,,
"Viviendas particulares (001)",3187,2830,357
"Ocupantes presentes (002)",12867,11385,1482
"Casa independiente",,,
"Viviendas particulares (004)",3133,2779,354
"Ocupantes presentes (005)",12682,11210,1472
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (010)",41,39,2
"Ocupantes presentes (011)",152,147,5
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",13,12,1
"Ocupantes presentes (014)",33,28,5
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",593,544,49
"Ocupantes presentes (029)",2245,2046,199
"Casa independiente",,,
"Viviendas particulares (031)",539,493,46
"Ocupantes presentes (032)",2060,1871,189
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (037)",41,39,2
"Ocupantes presentes (038)",152,147,5
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",13,12,1
"Ocupantes presentes (041)",33,28,5
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",2594,2286,308
"Ocupantes presentes (056)",10622,9339,1283
"Casa independiente",,,
"Viviendas particulares (058)",2594,2286,308
"Ocupantes presentes (059)",10622,9339,1283
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
