"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia BARRANCA (000)",52177,48426,13104,8476,8331,5655,6554,3405,2901,3751
"Católica (001)",42675,39547,10801,7101,6954,4675,5220,2668,2128,3128
"Cristiana/Evangélica (002)",7531,7050,1734,1003,1078,801,1104,635,695,481
"Otra (003)",994,921,242,157,165,104,140,70,43,73
"Ninguna (004)",977,908,327,215,134,75,90,32,35,69
,,,,,,,,,,
"URBANA (006)",45095,41601,11239,7409,7325,4970,5568,2801,2289,3494
"Católica (007)",37105,34184,9269,6214,6173,4137,4467,2226,1698,2921
"Cristiana/Evangélica (008)",6211,5771,1458,854,876,669,895,491,528,440
"Otra (009)",929,856,231,147,154,99,126,61,38,73
"Ninguna (010)",850,790,281,194,122,65,80,23,25,60
,,,,,,,,,,
"RURAL (012)",7082,6825,1865,1067,1006,685,986,604,612,257
"Católica (013)",5570,5363,1532,887,781,538,753,442,430,207
"Cristiana/Evangélica (014)",1320,1279,276,149,202,132,209,144,167,41
"Otra (015)",65,65,11,10,11,5,14,9,5,
"Ninguna (016)",127,118,46,21,12,10,10,9,10,9
