"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VIRU (000)",70849,8127,16791,4057,42117
"Quechua (001)",164,9,58,13,87
"Aymara (002)",34,3,10,12,13
"Asháninka (003)",10,5,,3,3
"Otra lengua nativa (004)",69,19,5,4,42
"Castellano (005)",70500,8081,16713,4019,41920
"Idioma Extranjero (006)",8,,1,2,5
"Es Sordomudo/a (007)",64,10,4,4,47
"Hombres (009)",36740,4020,9427,2459,20994
"Quechua (010)",88,2,35,10,42
"Aymara (011)",19,2,5,9,6
"Asháninka (012)",6,3,,2,1
"Otra lengua nativa (013)",37,9,4,1,24
"Castellano (014)",36549,4000,9380,2434,20890
"Idioma Extranjero (015)",4,,,1,3
"Es Sordomudo/a (016)",37,4,3,2,28
"Mujeres (018)",34109,4107,7364,1598,21123
"Quechua (019)",76,7,23,3,45
"Aymara (020)",15,1,5,3,7
"Asháninka (021)",4,2,,1,2
"Otra lengua nativa (022)",32,10,1,3,18
"Castellano (023)",33951,4081,7333,1585,21030
"Idioma Extranjero (024)",4,,1,1,2
"Es Sordomudo/a (025)",27,6,1,2,19
,,,,,
"URBANA (027)",54437,5838,15326,3659,29847
"Quechua (028)",139,7,55,12,68
"Aymara (029)",31,1,10,11,12
"Asháninka (030)",10,5,,3,3
"Otra lengua nativa (031)",69,19,5,4,42
"Castellano (032)",54142,5798,15251,3627,29690
"Idioma Extranjero (033)",6,,1,,5
"Es Sordomudo/a (034)",40,8,4,2,27
"Hombres (036)",27950,2880,8571,2200,14453
"Quechua (037)",74,1,34,9,31
"Aymara (038)",18,1,5,9,6
"Asháninka (039)",6,3,,2,1
"Otra lengua nativa (040)",37,9,4,1,24
"Castellano (041)",27790,2863,8525,2178,14373
"Idioma Extranjero (042)",3,,,,3
"Es Sordomudo/a (043)",22,3,3,1,15
"Mujeres (045)",26487,2958,6755,1459,15394
"Quechua (046)",65,6,21,3,37
"Aymara (047)",13,,5,2,6
"Asháninka (048)",4,2,,1,2
"Otra lengua nativa (049)",32,10,1,3,18
"Castellano (050)",26352,2935,6726,1449,15317
"Idioma Extranjero (051)",3,,1,,2
"Es Sordomudo/a (052)",18,5,1,1,12
,,,,,
"RURAL (054)",16412,2289,1465,398,12270
"Quechua (055)",25,2,3,1,19
"Aymara (056)",3,2,,1,1
"Castellano (059)",16358,2283,1462,392,12230
"Idioma Extranjero (060)",2,,,2,
"Es Sordomudo/a (061)",24,2,,2,20
"Hombres (063)",8790,1140,856,259,6541
"Quechua (064)",14,1,1,1,11
"Aymara (065)",1,1,,,
"Castellano (068)",8759,1137,855,256,6517
"Idioma Extranjero (069)",1,,,1,
"Es Sordomudo/a (070)",15,1,,1,13
"Mujeres (072)",7622,1149,609,139,5729
"Quechua (073)",11,1,2,,8
"Aymara (074)",2,1,,1,1
"Castellano (077)",7599,1146,607,136,5713
"Idioma Extranjero (078)",1,,,1,
"Es Sordomudo/a (079)",9,1,,1,7
