"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHURCAMPA (000)",15498,14943,4391,1534,1516,1340,2303,1806,2053,555
"Católica (001)",9982,9600,2765,1069,1040,898,1491,1098,1239,382
"Cristiana/Evangélica (002)",5383,5220,1588,455,464,427,787,697,802,163
"Otra (003)",61,58,15,2,5,7,15,6,8,3
"Ninguna (004)",72,65,23,8,7,8,10,5,4,7
,,,,,,,,,,
"URBANA (006)",3638,3471,1052,438,465,336,525,333,322,167
"Católica (007)",2874,2735,806,364,384,268,409,260,244,139
"Cristiana/Evangélica (008)",708,689,229,70,74,62,109,72,73,19
"Otra (009)",20,17,3,1,2,3,4,,4,3
"Ninguna (010)",36,30,14,3,5,3,3,1,1,6
,,,,,,,,,,
"RURAL (012)",11860,11472,3339,1096,1051,1004,1778,1473,1731,388
"Católica (013)",7108,6865,1959,705,656,630,1082,838,995,243
"Cristiana/Evangélica (014)",4675,4531,1359,385,390,365,678,625,729,144
"Otra (015)",41,41,12,1,3,4,11,6,4,
"Ninguna (016)",36,35,9,5,2,5,7,4,3,1
