"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",9891,9707,2482,992,1031,922,1601,1186,854,639,184,34936
"De 12 a 14 años (001)",929,924,921,3,,,,,,,5,3
"De 15 a 19 años (002)",1022,1012,875,116,17,3,1,,,,10,163
"De 20 a 24 años (003)",802,744,229,298,171,33,12,1,,,58,796
"De 25 a 29 años (004)",812,775,108,196,235,155,75,6,,,37,1484
"De 30 a 34 años (005)",758,743,42,99,201,182,182,34,3,,15,2079
"De 35 a 39 años (006)",743,731,35,66,109,159,240,91,28,3,12,2661
"De 40 a 44 años (007)",704,692,42,42,76,79,189,150,82,32,12,3280
"De 45 a 49 años (008)",608,604,26,27,34,68,162,155,92,40,4,3241
"De 50 y más años (009)",3513,3482,204,145,188,243,740,749,649,564,31,21229
"PEA (010)",2798,2718,419,385,382,305,483,352,227,165,80,10258
"De 12 a 14 años (011)",54,54,54,,,,,,,,,
"De 15 a 19 años (012)",132,130,102,26,1,,1,,,,2,32
"De 20 a 24 años (013)",245,224,70,105,40,7,2,,,,21,215
"De 25 a 29 años (014)",331,306,63,86,83,45,28,1,,,25,512
"De 30 a 34 años (015)",277,267,18,58,83,55,44,8,1,,10,639
"De 35 a 39 años (016)",308,302,14,36,65,71,77,31,7,1,6,989
"De 40 a 44 años (017)",253,247,13,23,31,33,59,55,26,7,6,1096
"De 45 a 49 años (018)",234,230,8,13,22,26,71,51,26,13,4,1142
"De 50 y más años (019)",964,958,77,38,57,68,201,206,167,144,6,5633
"Ocupada (020)",2707,2632,382,369,369,297,477,348,226,164,75,10121
"De 12 a 14 años (021)",50,50,50,,,,,,,,,
"De 15 a 19 años (022)",117,115,89,24,1,,1,,,,2,30
