"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AREQUIPA (000)",780678,136699,250538,187377,142348,63716
"Hombres (001)",373331,69492,121472,86072,66159,30136
"Mujeres (002)",407347,67207,129066,101305,76189,33580
"PEA (003)",362097,2711,118406,137817,90512,12651
"Hombres (004)",209027,1461,66279,78415,54178,8694
"Mujeres (005)",153070,1250,52127,59402,36334,3957
"Ocupada (006)",340701,2590,108515,131030,86554,12012
"Hombres (007)",196330,1393,60816,74593,51358,8170
"Mujeres (008)",144371,1197,47699,56437,35196,3842
"Desocupada (009)",21396,121,9891,6787,3958,639
"Hombres (010)",12697,68,5463,3822,2820,524
"Mujeres (011)",8699,53,4428,2965,1138,115
"No PEA (012)",418581,133988,132132,49560,51836,51065
"Hombres (013)",164304,68031,55193,7657,11981,21442
"Mujeres (014)",254277,65957,76939,41903,39855,29623
,,,,,,
"URBANA (018)",761619,133118,244930,183039,138693,61839
"Hombres (019)",363019,67648,118420,83745,64161,29045
"Mujeres (020)",398600,65470,126510,99294,74532,32794
"PEA (021)",352436,2604,115357,134616,88012,11847
"Hombres (022)",202432,1392,64280,76284,52441,8035
"Mujeres (023)",150004,1212,51077,58332,35571,3812
"Ocupada (024)",331326,2485,105603,127921,84098,11219
"Hombres (025)",189937,1324,58905,72528,49658,7522
"Mujeres (026)",141389,1161,46698,55393,34440,3697
"Desocupada (027)",21110,119,9754,6695,3914,628
"Hombres (028)",12495,68,5375,3756,2783,513
"Mujeres (029)",8615,51,4379,2939,1131,115
"No PEA (030)",409183,130514,129573,48423,50681,49992
"Hombres (031)",160587,66256,54140,7461,11720,21010
"Mujeres (032)",248596,64258,75433,40962,38961,28982
,,,,,,
"RURAL (036)",19059,3581,5608,4338,3655,1877
"Hombres (037)",10312,1844,3052,2327,1998,1091
"Mujeres (038)",8747,1737,2556,2011,1657,786
"PEA (039)",9661,107,3049,3201,2500,804
"Hombres (040)",6595,69,1999,2131,1737,659
"Mujeres (041)",3066,38,1050,1070,763,145
"Ocupada (042)",9375,105,2912,3109,2456,793
"Hombres (043)",6393,69,1911,2065,1700,648
"Mujeres (044)",2982,36,1001,1044,756,145
"Desocupada (045)",286,2,137,92,44,11
"Hombres (046)",202,,88,66,37,11
"Mujeres (047)",84,2,49,26,7,
"No PEA (048)",9398,3474,2559,1137,1155,1073
"Hombres (049)",3717,1775,1053,196,261,432
"Mujeres (050)",5681,1699,1506,941,894,641
