"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CONDESUYOS",,,,,,,,,
"Hogares (001)",5484,211,80,46,27,17,16,20,5067
"Ocupantes presentes (002)",17146,495,218,120,102,72,55,93,15991
"Casa independiente",,,,,,,,,
"Hogares (004)",4273,177,65,36,23,14,13,16,3929
"Ocupantes presentes (005)",13482,445,188,96,83,60,37,66,12507
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",14,2,1,,,1,,,10
"Ocupantes presentes (011)",38,2,2,,,3,,,31
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",50,5,,2,,,1,1,41
"Ocupantes presentes (014)",127,7,,6,,,6,7,101
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1121,26,14,7,4,2,2,3,1063
"Ocupantes presentes (017)",3440,38,28,15,19,9,12,20,3299
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",12,1,,,,,,,11
"Ocupantes presentes (020)",30,3,,,,,,,27
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",13,,,1,,,,,12
"Ocupantes presentes (023)",26,,,3,,,,,23
"Otro tipo",,,,,,,,,
"Hogares (025)",1,,,,,,,,1
"Ocupantes presentes (026)",3,,,,,,,,3
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2445,110,37,25,9,8,8,10,2238
"Ocupantes presentes (029)",7555,252,108,63,31,38,30,40,6993
"Casa independiente",,,,,,,,,
"Hogares (031)",2361,102,36,23,9,7,7,9,2168
"Ocupantes presentes (032)",7350,240,106,57,31,35,24,33,6824
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",14,2,1,,,1,,,10
"Ocupantes presentes (038)",38,2,2,,,3,,,31
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",50,5,,2,,,1,1,41
"Ocupantes presentes (041)",127,7,,6,,,6,7,101
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",12,1,,,,,,,11
"Ocupantes presentes (047)",30,3,,,,,,,27
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",8,,,,,,,,8
"Ocupantes presentes (050)",10,,,,,,,,10
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",3039,101,43,21,18,9,8,10,2829
"Ocupantes presentes (056)",9591,243,110,57,71,34,25,53,8998
"Casa independiente",,,,,,,,,
"Hogares (058)",1912,75,29,13,14,7,6,7,1761
"Ocupantes presentes (059)",6132,205,82,39,52,25,13,33,5683
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1121,26,14,7,4,2,2,3,1063
"Ocupantes presentes (071)",3440,38,28,15,19,9,12,20,3299
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",5,,,1,,,,,4
"Ocupantes presentes (077)",16,,,3,,,,,13
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",3,,,,,,,,3
