"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BELLAVISTA (000)",41808,7166,2790,1385,30527
"Hombres (001)",22557,3520,1405,844,16826
"Mujeres (002)",19251,3646,1385,541,13701
"PEA (003)",19422,1362,1441,653,16011
"Hombres (004)",14905,943,851,478,12662
"Mujeres (005)",4517,419,590,175,3349
"Ocupada (006)",19097,1342,1425,643,15732
"Hombres (007)",14655,928,840,472,12444
"Mujeres (008)",4442,414,585,171,3288
"Desocupada (009)",325,20,16,10,279
"Hombres (010)",250,15,11,6,218
"Mujeres (011)",75,5,5,4,61
"No PEA (012)",22386,5804,1349,732,14516
"Hombres (013)",7652,2577,554,366,4164
"Mujeres (014)",14734,3227,795,366,10352
,,,,,
"URBANA (018)",23540,4023,2406,1112,16045
"Hombres (019)",12472,1983,1200,695,8624
"Mujeres (020)",11068,2040,1206,417,7421
"PEA (021)",11109,918,1254,515,8459
"Hombres (022)",7994,601,721,362,6333
"Mujeres (023)",3115,317,533,153,2126
"Ocupada (024)",10841,901,1240,506,8231
"Hombres (025)",7790,589,712,357,6155
"Mujeres (026)",3051,312,528,149,2076
"Desocupada (027)",268,17,14,9,228
"Hombres (028)",204,12,9,5,178
"Mujeres (029)",64,5,5,4,50
"No PEA (030)",12431,3105,1152,597,7586
"Hombres (031)",4478,1382,479,333,2291
"Mujeres (032)",7953,1723,673,264,5295
,,,,,
"RURAL (036)",18268,3143,384,273,14482
"Hombres (037)",10085,1537,205,149,8202
"Mujeres (038)",8183,1606,179,124,6280
"PEA (039)",8313,444,187,138,7552
"Hombres (040)",6911,342,130,116,6329
"Mujeres (041)",1402,102,57,22,1223
"Ocupada (042)",8256,441,185,137,7501
"Hombres (043)",6865,339,128,115,6289
"Mujeres (044)",1391,102,57,22,1212
"Desocupada (045)",57,3,2,1,51
"Hombres (046)",46,3,2,1,40
"Mujeres (047)",11,,,,11
"No PEA (048)",9955,2699,197,135,6930
"Hombres (049)",3174,1195,75,33,1873
"Mujeres (050)",6781,1504,122,102,5057
