"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia ACOMAYO",,,,,,
"Viviendas particulares (001)",7409,7319,86,3,1,
"Ocupantes presentes (002)",27217,26544,622,37,14,
"Casa independiente",,,,,,
"Viviendas particulares (004)",7168,7079,85,3,1,
"Ocupantes presentes (005)",26430,25769,610,37,14,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",5,5,,,,
"Ocupantes presentes (011)",20,20,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",16,15,1,,,
"Ocupantes presentes (014)",62,50,12,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",215,215,,,,
"Ocupantes presentes (017)",694,694,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1,1,,,,
"Ocupantes presentes (020)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",4,4,,,,
"Ocupantes presentes (023)",10,10,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",4021,3943,74,3,1,
"Ocupantes presentes (029)",14352,13775,526,37,14,
"Casa independiente",,,,,,
"Viviendas particulares (031)",3995,3918,73,3,1,
"Ocupantes presentes (032)",14259,13694,514,37,14,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",5,5,,,,
"Ocupantes presentes (038)",20,20,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",16,15,1,,,
"Ocupantes presentes (041)",62,50,12,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1,1,,,,
"Ocupantes presentes (047)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",4,4,,,,
"Ocupantes presentes (050)",10,10,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",3388,3376,12,,,
"Ocupantes presentes (056)",12865,12769,96,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",3173,3161,12,,,
"Ocupantes presentes (059)",12171,12075,96,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",215,215,,,,
"Ocupantes presentes (071)",694,694,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
