"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CANDARAVE",,,,,,,,,
"Hogares (001)",2885,112,35,39,23,11,9,5,2651
"Ocupantes presentes (002)",8197,229,86,113,86,52,35,27,7569
"Casa independiente",,,,,,,,,
"Hogares (004)",2699,98,33,36,22,10,9,4,2487
"Ocupantes presentes (005)",7785,211,82,107,82,51,35,26,7191
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",2,,,,1,,,,1
"Ocupantes presentes (011)",6,,,,4,,,,2
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",37,3,1,1,,1,,1,30
"Ocupantes presentes (014)",101,3,2,2,,1,,1,92
"Choza o cabaña",,,,,,,,,
"Hogares (016)",139,11,1,1,,,,,126
"Ocupantes presentes (017)",289,15,2,3,,,,,269
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",3,,,,,,,,3
"Ocupantes presentes (020)",4,,,,,,,,4
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",5,,,1,,,,,4
"Ocupantes presentes (023)",12,,,1,,,,,11
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",1828,76,22,30,12,9,8,4,1667
"Ocupantes presentes (029)",5260,170,59,89,38,42,34,19,4809
"Casa independiente",,,,,,,,,
"Hogares (031)",1782,73,21,29,11,8,8,3,1629
"Ocupantes presentes (032)",5138,167,57,87,34,41,34,18,4700
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",2,,,,1,,,,1
"Ocupantes presentes (038)",6,,,,4,,,,2
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",37,3,1,1,,1,,1,30
"Ocupantes presentes (041)",101,3,2,2,,1,,1,92
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",3,,,,,,,,3
"Ocupantes presentes (047)",4,,,,,,,,4
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",4,,,,,,,,4
"Ocupantes presentes (050)",11,,,,,,,,11
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",1057,36,13,9,11,2,1,1,984
"Ocupantes presentes (056)",2937,59,27,24,48,10,1,8,2760
"Casa independiente",,,,,,,,,
"Hogares (058)",917,25,12,7,11,2,1,1,858
"Ocupantes presentes (059)",2647,44,25,20,48,10,1,8,2491
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",139,11,1,1,,,,,126
"Ocupantes presentes (071)",289,15,2,3,,,,,269
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,1,,,,,
"Ocupantes presentes (077)",1,,,1,,,,,
"Otro tipo",,,,,,,,,
