"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PUERTO INCA (000)",6660,326,3693,1551,350,113,53,9,3,,562
"Conviviente (001)",3949,215,2324,845,170,46,19,4,2,,324
"Separado(a) (002)",296,16,171,57,17,8,5,,,,22
"Casado(a) (003)",1811,56,931,509,136,49,23,4,,,103
"Viudo(a) (004)",284,12,137,81,16,7,3,1,1,,26
"Divorciado(a) (005)",27,3,15,6,,,,,,,3
"Soltero(a) (006)",293,24,115,53,11,3,3,,,,84
,,,,,,,,,,,
"URBANA (008)",1471,33,753,388,102,36,25,2,1,,131
"Conviviente (009)",765,18,427,194,44,12,8,1,1,,60
"Separado(a) (010)",102,3,58,21,6,4,4,,,,6
"Casado(a) (011)",436,7,197,131,44,18,10,1,,,28
"Viudo(a) (012)",61,2,28,21,3,2,2,,,,3
"Divorciado(a) (013)",15,1,9,3,,,,,,,2
"Soltero(a) (014)",92,2,34,18,5,,1,,,,32
,,,,,,,,,,,
"RURAL (016)",5189,293,2940,1163,248,77,28,7,2,,431
"Conviviente (017)",3184,197,1897,651,126,34,11,3,1,,264
"Separado(a) (018)",194,13,113,36,11,4,1,,,,16
"Casado(a) (019)",1375,49,734,378,92,31,13,3,,,75
"Viudo(a) (020)",223,10,109,60,13,5,1,1,1,,23
"Divorciado(a) (021)",12,2,6,3,,,,,,,1
"Soltero(a) (022)",201,22,81,35,6,3,2,,,,52
