"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia HUAMANGA (000)",65151,60010,52332,4785,2893,5141,160,829,3844,308
"Casa independiente (001)",58014,53421,46735,4109,2577,4593,126,804,3455,208
"Departamento en edificio (002)",764,741,656,84,1,23,11,1,10,1
"Vivienda en quinta (003)",2032,1974,1815,148,11,58,12,10,34,2
"Vivienda en casa de vecindad (004)",1529,1446,1306,123,17,83,11,14,52,6
"Choza o cabaña (005)",2651,2313,1754,284,275,338,,,253,85
"Vivienda improvisada (006)",110,64,15,37,12,46,,,40,6
"Local no dest.para hab. humana (007)",46,46,46,,,,,,,
"Otro tipo (008)",5,5,5,,,,,,,
,,,,,,,,,,
"URBANA (009)",42437,39888,36980,2445,463,2549,134,465,1843,107
"Casa independiente (010)",37963,35624,33149,2053,422,2339,100,440,1707,92
"Departamento en edificio (011)",764,741,656,84,1,23,11,1,10,1
"Vivienda en quinta (012)",2032,1974,1815,148,11,58,12,10,34,2
"Vivienda en casa de vecindad (013)",1529,1446,1306,123,17,83,11,14,52,6
"Vivienda improvisada (015)",110,64,15,37,12,46,,,40,6
"Local no dest.para hab. humana (016)",35,35,35,,,,,,,
"Otro tipo (017)",4,4,4,,,,,,,
,,,,,,,,,,
"RURAL (018)",22714,20122,15352,2340,2430,2592,26,364,2001,201
"Casa independiente (019)",20051,17797,13586,2056,2155,2254,26,364,1748,116
"Choza o cabaña (023)",2651,2313,1754,284,275,338,,,253,85
"Local no dest.para hab. humana (025)",11,11,11,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
