"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SAN MARCOS (000)",15297,1668,2029,7913,211,2299,322,855
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,22,,,2,,,
"Profes., científicos e intelectuales (002)",910,804,,97,6,3,,
"Técnicos de nivel medio y trab. asimilados (003)",199,126,,64,7,2,,
"Jefes y empleados de oficina (004)",207,206,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",923,170,7,664,9,73,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6082,,1,5933,148,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",529,,107,398,8,16,,
"Obreros construc.,conf.,papel, fab., instr. (008)",550,81,179,262,21,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4472,158,1635,245,,2112,322,
"Otra (010)",24,24,,,,,,
"Ocupaciñn no especificada (011)",522,77,100,250,10,85,,
"Desocupado (012)",855,,,,,,,855
"Hombres (013)",12029,938,1699,6986,200,1527,20,659
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",22,20,,,2,,,
"Profes., científicos e intelectuales (015)",485,424,,55,5,1,,
"Técnicos de nivel medio y trab. asimilados (016)",136,77,,53,5,1,,
"Jefes y empleados de oficina (017)",108,108,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",452,82,3,344,6,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",5843,,1,5696,146,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",425,,91,315,7,12,,
"Obreros construc.,conf.,papel, fab., instr. (021)",537,80,176,253,21,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",3059,78,1350,145,,1466,20,
"Otra (023)",24,24,,,,,,
"Ocupaciñn no especificada (024)",279,45,78,125,8,23,,
"Desocupado (025)",659,,,,,,,659
"Mujeres (026)",3268,730,330,927,11,772,302,196
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",2,2,,,,,,
"Profes., científicos e intelectuales (028)",425,380,,42,1,2,,
"Técnicos de nivel medio y trab. asimilados (029)",63,49,,11,2,1,,
"Jefes y empleados de oficina (030)",99,98,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",471,88,4,320,3,56,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",239,,,237,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",104,,16,83,1,4,,
"Obreros construc.,conf.,papel, fab., instr. (034)",13,1,3,9,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",1413,80,285,100,,646,302,
"Ocupaciñn no especificada (037)",243,32,22,125,2,62,,
"Desocupado (038)",196,,,,,,,196
,,,,,,,,
"URBANA (039)",4526,1364,536,1978,63,247,155,183
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",15,13,,,2,,,
"Profes., científicos e intelectuales (041)",760,675,,77,6,2,,
"Técnicos de nivel medio y trab. asimilados (042)",163,107,,47,7,2,,
"Jefes y empleados de oficina (043)",168,167,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",726,142,4,509,9,62,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",677,,1,657,19,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",289,,56,226,5,2,,
"Obreros construc.,conf.,papel, fab., instr. (047)",365,71,124,162,6,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",940,124,319,187,,155,155,
"Otra (049)",23,23,,,,,,
"Ocupaciñn no especificada (050)",217,42,32,113,9,21,,
"Desocupado (051)",183,,,,,,,183
"Hombres (052)",3034,769,476,1448,55,147,7,132
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",13,11,,,2,,,
"Profes., científicos e intelectuales (054)",403,353,,44,5,1,,
"Técnicos de nivel medio y trab. asimilados (055)",110,67,,37,5,1,,
"Jefes y empleados de oficina (056)",85,85,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",369,73,2,273,6,15,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",623,,1,603,19,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",240,,54,179,5,2,,
"Obreros construc.,conf.,papel, fab., instr. (060)",358,71,121,158,6,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",558,63,273,101,,114,7,
"Otra (062)",23,23,,,,,,
"Ocupaciñn no especificada (063)",120,23,25,53,7,12,,
"Desocupado (064)",132,,,,,,,132
"Mujeres (065)",1492,595,60,530,8,100,148,51
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",2,2,,,,,,
"Profes., científicos e intelectuales (067)",357,322,,33,1,1,,
"Técnicos de nivel medio y trab. asimilados (068)",53,40,,10,2,1,,
"Jefes y empleados de oficina (069)",83,82,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",357,69,2,236,3,47,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",54,,,54,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",49,,2,47,,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",7,,3,4,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",382,61,46,86,,41,148,
"Ocupaciñn no especificada (076)",97,19,7,60,2,9,,
"Desocupado (077)",51,,,,,,,51
,,,,,,,,
"RURAL (078)",10771,304,1493,5935,148,2052,167,672
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",9,9,,,,,,
"Profes., científicos e intelectuales (080)",150,129,,20,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",36,19,,17,,,,
"Jefes y empleados de oficina (082)",39,39,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",197,28,3,155,,11,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",5405,,,5276,129,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",240,,51,172,3,14,,
"Obreros construc.,conf.,papel, fab., instr. (086)",185,10,55,100,15,5,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",3532,34,1316,58,,1957,167,
"Otra (088)",1,1,,,,,,
"Ocupaciñn no especificada (089)",305,35,68,137,1,64,,
"Desocupado (090)",672,,,,,,,672
"Hombres (091)",8995,169,1223,5538,145,1380,13,527
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",9,9,,,,,,
"Profes., científicos e intelectuales (093)",82,71,,11,,,,
"Técnicos de nivel medio y trab. asimilados (094)",26,10,,16,,,,
"Jefes y empleados de oficina (095)",23,23,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",83,9,1,71,,2,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",5220,,,5093,127,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",185,,37,136,2,10,,
