"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia RIOJA (000)",36917,1809,55,18080,11953,956,1641,592,1831
"Empleado (001)",4957,45,3,658,1321,343,1006,273,1308
"Obrero (002)",5913,309,18,3105,2176,102,109,47,47
"Trabajador independiente (003)",18852,990,19,10358,6065,378,425,228,389
"Empleador o patrono (004)",1433,55,1,823,427,39,28,17,43
"Trabajador familiar no remunerado (005)",4426,266,11,2415,1548,71,58,24,33
"Trabajador del hogar (006)",1336,144,3,721,416,23,15,3,11
"Hombres (008)",27713,1088,35,14166,9356,638,937,401,1092
"Empleado (009)",2657,14,,302,818,190,489,150,694
"Obrero (010)",5151,207,16,2640,2009,94,101,41,43
"Trabajador independiente (011)",15525,704,13,8799,4952,282,293,180,302
"Empleador o patrono (012)",1284,41,1,758,380,31,25,13,35
"Trabajador familiar no remunerado (013)",3045,120,5,1640,1178,41,27,17,17
"Trabajador del hogar (014)",51,2,,27,19,,2,,1
"Mujeres (016)",9204,721,20,3914,2597,318,704,191,739
"Empleado (017)",2300,31,3,356,503,153,517,123,614
"Obrero (018)",762,102,2,465,167,8,8,6,4
"Trabajador independiente (019)",3327,286,6,1559,1113,96,132,48,87
"Empleador o patrono (020)",149,14,,65,47,8,3,4,8
"Trabajador familiar no remunerado (021)",1381,146,6,775,370,30,31,7,16
"Trabajador del hogar (022)",1285,142,3,694,397,23,13,3,10
,,,,,,,,,
"URBANA (024)",27769,1121,44,11938,9837,891,1571,571,1796
"Empleado (025)",4814,42,3,640,1276,325,971,268,1289
"Obrero (026)",4656,216,13,2265,1870,100,103,43,46
"Trabajador independiente (027)",13578,604,16,6700,4900,351,408,220,379
"Empleador o patrono (028)",956,23,,481,333,35,27,16,41
"Trabajador familiar no remunerado (029)",2790,152,9,1354,1116,60,47,21,31
"Trabajador del hogar (030)",975,84,3,498,342,20,15,3,10
"Hombres (032)",19764,590,26,8782,7445,585,885,384,1067
"Empleado (033)",2557,14,,294,781,176,465,147,680
"Obrero (034)",4055,144,11,1914,1719,92,95,38,42
"Trabajador independiente (035)",10577,365,12,5349,3844,258,281,172,296
"Empleador o patrono (036)",822,12,,424,290,27,24,12,33
"Trabajador familiar no remunerado (037)",1711,53,3,780,795,32,18,15,15
"Trabajador del hogar (038)",42,2,,21,16,,2,,1
"Mujeres (040)",8005,531,18,3156,2392,306,686,187,729
"Empleado (041)",2257,28,3,346,495,149,506,121,609
"Obrero (042)",601,72,2,351,151,8,8,5,4
"Trabajador independiente (043)",3001,239,4,1351,1056,93,127,48,83
"Empleador o patrono (044)",134,11,,57,43,8,3,4,8
"Trabajador familiar no remunerado (045)",1079,99,6,574,321,28,29,6,16
"Trabajador del hogar (046)",933,82,3,477,326,20,13,3,9
,,,,,,,,,
"RURAL (048)",9148,688,11,6142,2116,65,70,21,35
"Empleado (049)",143,3,,18,45,18,35,5,19
"Obrero (050)",1257,93,5,840,306,2,6,4,1
"Trabajador independiente (051)",5274,386,3,3658,1165,27,17,8,10
"Empleador o patrono (052)",477,32,1,342,94,4,1,1,2
"Trabajador familiar no remunerado (053)",1636,114,2,1061,432,11,11,3,2
"Trabajador del hogar (054)",361,60,,223,74,3,,,1
"Hombres (056)",7949,498,9,5384,1911,53,52,17,25
"Empleado (057)",100,,,8,37,14,24,3,14
"Obrero (058)",1096,63,5,726,290,2,6,3,1
"Trabajador independiente (059)",4948,339,1,3450,1108,24,12,8,6
"Empleador o patrono (060)",462,29,1,334,90,4,1,1,2
"Trabajador familiar no remunerado (061)",1334,67,2,860,383,9,9,2,2
"Trabajador del hogar (062)",9,,,6,3,,,,
"Mujeres (064)",1199,190,2,758,205,12,18,4,10
"Empleado (065)",43,3,,10,8,4,11,2,5
"Obrero (066)",161,30,,114,16,,,1,
"Trabajador independiente (067)",326,47,2,208,57,3,5,,4
"Empleador o patrono (068)",15,3,,8,4,,,,
"Trabajador familiar no remunerado (069)",302,47,,201,49,2,2,1,
"Trabajador del hogar (070)",352,60,,217,71,3,,,1
