"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCAVELICA (000)",133203,7062,38669,28468,18827,14338,10438,7162,8239
"Quechua (001)",73340,3270,18054,13072,9701,8859,7454,5732,7198
"Aymara (002)",117,10,38,18,13,16,6,7,9
"Ashaninca (003)",28,2,15,4,3,4,,,
"Otra lengua nativa (004)",13,2,,4,2,1,1,1,2
"Castellano (005)",59544,3771,20513,15337,9086,5444,2958,1416,1019
"Idioma extranjero (006)",4,,,1,3,,,,
"Es sordomudo/a (007)",157,7,49,32,19,14,19,6,11
"Hombres (009)",64819,3569,19637,13785,8949,6843,4944,3396,3696
"Quechua (010)",34730,1661,9159,6244,4501,4120,3410,2544,3091
"Aymara (011)",58,5,18,7,9,5,4,5,5
"Ashaninca (012)",18,1,8,4,3,2,,,
"Otra lengua nativa (013)",8,1,,2,2,1,1,1,
"Castellano (014)",29918,1899,10421,7511,4424,2704,1522,843,594
"Idioma extranjero (015)",2,,,1,1,,,,
"Es sordomudo/a (016)",85,2,31,16,9,11,7,3,6
"Mujeres (018)",68384,3493,19032,14683,9878,7495,5494,3766,4543
"Quechua (019)",38610,1609,8895,6828,5200,4739,4044,3188,4107
"Aymara (020)",59,5,20,11,4,11,2,2,4
"Ashaninca (021)",10,1,7,,,2,,,
"Otra lengua nativa (022)",5,1,,2,,,,,2
"Castellano (023)",29626,1872,10092,7826,4662,2740,1436,573,425
"Idioma extranjero (024)",2,,,,2,,,,
"Es sordomudo/a (025)",72,5,18,16,10,3,12,3,5
,,,,,,,,,
"URBANA (027)",56588,2413,14306,12950,9480,6816,4571,2897,3155
"Quechua (028)",14218,150,1258,1883,2195,2425,2184,1766,2357
"Aymara (029)",58,2,14,12,11,8,2,5,4
"Ashaninca (030)",13,,6,2,3,2,,,
"Otra lengua nativa (031)",4,,,1,1,1,1,,
"Castellano (032)",42245,2260,13014,11046,7259,4376,2376,1123,791
"Idioma extranjero (033)",4,,,1,3,,,,
"Es sordomudo/a (034)",46,1,14,5,8,4,8,3,3
"Hombres (036)",27474,1177,7358,6344,4513,3236,2136,1385,1325
"Quechua (037)",6346,60,660,942,1027,1098,957,729,873
"Aymara (038)",29,1,7,6,7,2,1,3,2
"Ashaninca (039)",10,,5,2,3,,,,
"Otra lengua nativa (040)",4,,,1,1,1,1,,
"Castellano (041)",21059,1116,6676,5391,3470,2132,1174,652,448
"Idioma extranjero (042)",2,,,1,1,,,,
"Es sordomudo/a (043)",24,,10,1,4,3,3,1,2
"Mujeres (045)",29114,1236,6948,6606,4967,3580,2435,1512,1830
"Quechua (046)",7872,90,598,941,1168,1327,1227,1037,1484
"Aymara (047)",29,1,7,6,4,6,1,2,2
"Ashaninca (048)",3,,1,,,2,,,
"Castellano (050)",21186,1144,6338,5655,3789,2244,1202,471,343
"Idioma extranjero (051)",2,,,,2,,,,
"Es sordomudo/a (052)",22,1,4,4,4,1,5,2,1
,,,,,,,,,
"RURAL (054)",76615,4649,24363,15518,9347,7522,5867,4265,5084
"Quechua (055)",59122,3120,16796,11189,7506,6434,5270,3966,4841
"Aymara (056)",59,8,24,6,2,8,4,2,5
"Ashaninca (057)",15,2,9,2,,2,,,
"Otra lengua nativa (058)",9,2,,3,1,,,1,2
"Castellano (059)",17299,1511,7499,4291,1827,1068,582,293,228
"Es sordomudo/a (061)",111,6,35,27,11,10,11,3,8
"Hombres (063)",37345,2392,12279,7441,4436,3607,2808,2011,2371
"Quechua (064)",28384,1601,8499,5302,3474,3022,2453,1815,2218
"Aymara (065)",29,4,11,1,2,3,3,2,3
"Ashaninca (066)",8,1,3,2,,2,,,
"Otra lengua nativa (067)",4,1,,1,1,,,1,
"Castellano (068)",8859,783,3745,2120,954,572,348,191,146
"Es sordomudo/a (070)",61,2,21,15,5,8,4,2,4
"Mujeres (072)",39270,2257,12084,8077,4911,3915,3059,2254,2713
"Quechua (073)",30738,1519,8297,5887,4032,3412,2817,2151,2623
"Aymara (074)",30,4,13,5,,5,1,,2
"Ashaninca (075)",7,1,6,,,,,,
"Otra lengua nativa (076)",5,1,,2,,,,,2
"Castellano (077)",8440,728,3754,2171,873,496,234,102,82
"Es sordomudo/a (079)",50,4,14,12,6,2,7,1,4
