"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PARURO (000)",9028,6977,1505,204,342
"Agric., ganadería, caza y silvicultura (001)",6493,5350,1104,27,12
"Pesca (002)",1,1,,,
"Explotación de minas y canteras (003)",46,21,9,13,3
"Industrias manufactureras (004)",120,107,11,1,1
"Suministro de electricidad, gas y agua (005)",13,2,5,3,3
"Construcción (006)",370,203,116,37,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",387,360,23,4,
"Venta, mant.y rep. veh.autom y motoc. (008)",14,11,2,1,
"Comercio al por mayor (009)",12,9,2,1,
"Comercio al por menor (010)",361,340,19,2,
"Hoteles y restaurantes (011)",277,260,12,3,2
"Trans., almac. y comunicaciones (012)",99,70,14,11,4
"Activid.inmobil., empres. y alquileres (014)",66,20,21,17,8
"Admin.pub. y defensa; p. segur soc.afil (015)",261,,,,261
"Enseñanza (016)",295,122,106,56,11
"Servicios sociales y de salud (017)",42,12,11,2,17
"Otras activ. serv.comun.soc y personales (018)",86,51,14,19,2
"Hogares privados con servicio doméstico (019)",74,74,,,
"Actividad economica no especificada (021)",398,324,59,11,4
"Hombres (022)",6717,5022,1252,167,276
"Agric., ganadería, caza y silvicultura (023)",5297,4312,952,24,9
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",43,20,8,12,3
"Industrias manufactureras (026)",84,73,9,1,1
"Suministro de electricidad, gas y agua (027)",13,2,5,3,3
"Construcción (028)",364,201,114,35,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",128,116,10,2,
"Venta, mant.y rep. veh.autom y motoc. (030)",13,11,1,1,
"Comercio al por mayor (031)",7,5,1,1,
"Comercio al por menor (032)",108,100,8,,
"Hoteles y restaurantes (033)",15,7,6,1,1
"Trans., almac. y comunicaciones (034)",95,68,13,10,4
"Activid.inmobil., empres. y alquileres (036)",57,16,19,15,7
"Admin.pub. y defensa; p. segur soc.afil (037)",224,,,,224
"Enseñanza (038)",151,47,62,37,5
"Servicios sociales y de salud (039)",11,4,3,2,2
"Otras activ. serv.comun.soc y personales (040)",43,15,10,17,1
"Hogares privados con servicio doméstico (041)",20,20,,,
"Actividad economica no especificada (043)",171,120,41,8,2
"Mujeres (044)",2311,1955,253,37,66
"Agric., ganadería, caza y silvicultura (045)",1196,1038,152,3,3
