"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",10414,488,2376,1636,1412,1292,1050,734,1426
"Quechua (001)",5223,80,535,540,712,783,745,570,1258
"Aymara (002)",19,1,3,5,1,3,2,1,3
"Ashaninca (003)",1,,1,,,,,,
"Otra lengua nativa (004)",15,1,6,3,1,1,1,1,1
"Castellano (005)",5140,405,1826,1087,694,503,301,161,163
"Es sordomudo/a (007)",16,1,5,1,4,2,1,1,1
"Hombres (009)",5294,234,1210,885,757,642,561,370,635
"Quechua (010)",2568,40,293,302,366,382,390,269,526
"Aymara (011)",8,,1,2,,2,1,,2
"Otra lengua nativa (013)",10,,4,2,1,,1,1,1
"Castellano (014)",2702,193,910,579,389,257,169,100,105
"Es sordomudo/a (016)",6,1,2,,1,1,,,1
"Mujeres (018)",5120,254,1166,751,655,650,489,364,791
"Quechua (019)",2655,40,242,238,346,401,355,301,732
"Aymara (020)",11,1,2,3,1,1,1,1,1
"Ashaninca (021)",1,,1,,,,,,
"Otra lengua nativa (022)",5,1,2,1,,1,,,
"Castellano (023)",2438,212,916,508,305,246,132,61,58
"Es sordomudo/a (025)",10,,3,1,3,1,1,1,
,,,,,,,,,
"URBANA (027)",6979,325,1641,1104,970,898,717,452,872
"Quechua (028)",3002,23,228,294,416,505,458,326,752
"Aymara (029)",15,1,3,4,1,,2,1,3
"Otra lengua nativa (031)",10,1,2,2,1,1,1,1,1
"Castellano (032)",3941,300,1405,803,550,390,255,123,115
"Es sordomudo/a (034)",11,,3,1,2,2,1,1,1
"Hombres (036)",3491,158,832,586,521,416,385,225,368
"Quechua (037)",1423,16,123,165,213,225,238,149,294
"Aymara (038)",5,,1,1,,,1,,2
"Otra lengua nativa (040)",7,,2,1,1,,1,1,1
"Castellano (041)",2051,142,704,419,306,190,145,75,70
"Es sordomudo/a (043)",5,,2,,1,1,,,1
"Mujeres (045)",3488,167,809,518,449,482,332,227,504
"Quechua (046)",1579,7,105,129,203,280,220,177,458
"Aymara (047)",10,1,2,3,1,,1,1,1
"Otra lengua nativa (049)",3,1,,1,,1,,,
"Castellano (050)",1890,158,701,384,244,200,110,48,45
"Es sordomudo/a (052)",6,,1,1,1,1,1,1,
,,,,,,,,,
"RURAL (054)",3435,163,735,532,442,394,333,282,554
"Quechua (055)",2221,57,307,246,296,278,287,244,506
"Aymara (056)",4,,,1,,3,,,
"Ashaninca (057)",1,,1,,,,,,
"Otra lengua nativa (058)",5,,4,1,,,,,
"Castellano (059)",1199,105,421,284,144,113,46,38,48
"Es sordomudo/a (061)",5,1,2,,2,,,,
"Hombres (063)",1803,76,378,299,236,226,176,145,267
"Quechua (064)",1145,24,170,137,153,157,152,120,232
"Aymara (065)",3,,,1,,2,,,
"Otra lengua nativa (067)",3,,2,1,,,,,
"Castellano (068)",651,51,206,160,83,67,24,25,35
"Es sordomudo/a (070)",1,1,,,,,,,
"Mujeres (072)",1632,87,357,233,206,168,157,137,287
"Quechua (073)",1076,33,137,109,143,121,135,124,274
"Aymara (074)",1,,,,,1,,,
"Ashaninca (075)",1,,1,,,,,,
"Otra lengua nativa (076)",2,,2,,,,,,
"Castellano (077)",548,54,215,124,61,46,22,13,13
"Es sordomudo/a (079)",4,,2,,2,,,,
