"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BAGUA (000)",24239,710,8593,8470,5228,1238
"Agric., ganadería, caza y silvicultura (001)",14422,508,5416,4504,3051,943
"Pesca (002)",9,,7,2,,
"Explotación de minas y canteras (003)",6,,3,2,1,
"Industrias manufactureras (004)",550,14,140,216,151,29
"Suministro de electricidad, gas y agua (005)",26,,10,9,7,
"Construcción (006)",555,6,177,206,149,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2301,98,653,849,599,102
"Venta, mant.y rep. veh.autom.y motoc. (008)",243,8,100,83,44,8
"Comercio al por mayor (009)",73,,25,29,19,
"Comercio al por menor (010)",1985,90,528,737,536,94
"Hoteles y restaurantes (011)",647,19,202,241,160,25
"Trans., almac. y comunicaciones (012)",1198,14,603,399,163,19
"Intermediación financiera (013)",26,,10,11,5,
"Activid.inmobil., empres. y alquileres (014)",394,3,140,159,87,5
"Admin.pub. y defensa; p. segur.soc.afil (015)",447,,131,194,112,10
"Enseñanza (016)",1546,,257,914,361,14
"Servicios sociales y de salud (017)",362,,106,185,67,4
"Otras activ. serv.comun.soc y personales (018)",403,4,146,160,79,14
"Hogares privados con servicio doméstico (019)",502,35,264,118,74,11
"Actividad economica no especificada (021)",845,9,328,301,162,45
"Hombres (022)",17619,494,6132,5976,3961,1056
"Agric., ganadería, caza y silvicultura (023)",11892,380,4350,3730,2578,854
"Pesca (024)",9,,7,2,,
"Explotación de minas y canteras (025)",6,,3,2,1,
"Industrias manufactureras (026)",435,13,115,167,112,28
"Suministro de electricidad, gas y agua (027)",24,,9,8,7,
"Construcción (028)",541,5,173,200,146,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1313,68,348,459,369,69
"Venta, mant.y rep. veh.autom.y motoc. (030)",225,7,94,74,42,8
"Comercio al por mayor (031)",44,,14,18,12,
"Comercio al por menor (032)",1044,61,240,367,315,61
"Hoteles y restaurantes (033)",152,3,48,46,47,8
"Trans., almac. y comunicaciones (034)",1135,12,563,381,160,19
"Intermediación financiera (035)",17,,3,9,5,
"Activid.inmobil., empres. y alquileres (036)",285,2,87,119,72,5
"Admin.pub. y defensa; p. segur.soc.afil (037)",313,,69,138,97,9
"Enseñanza (038)",767,,112,440,208,7
"Servicios sociales y de salud (039)",168,,43,75,47,3
"Otras activ. serv.comun.soc y personales (040)",214,1,83,81,42,7
