"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",18283,230,7379,6051,1701,472,206,88,9,,2147
"Catolica (001)",15487,194,6191,5149,1465,396,180,77,8,,1827
"Cristiana / Evangelica (002)",1545,22,669,505,126,44,13,6,,,160
"Otra (003)",1013,11,431,314,90,23,11,4,1,,128
"Ninguna (004)",238,3,88,83,20,9,2,1,,,32
,,,,,,,,,,,
"URBANA (006)",4288,58,1562,1349,431,143,66,33,2,,644
"Catolica (007)",3605,48,1302,1149,367,117,59,27,2,,534
"Cristiana / Evangelica (008)",287,4,107,84,27,11,2,3,,,49
"Otra (009)",300,4,122,84,29,11,3,2,,,45
"Ninguna (010)",96,2,31,32,8,4,2,1,,,16
,,,,,,,,,,,
"RURAL (012)",13995,172,5817,4702,1270,329,140,55,7,,1503
"Catolica (013)",11882,146,4889,4000,1098,279,121,50,6,,1293
"Cristiana / Evangelica (014)",1258,18,562,421,99,33,11,3,,,111
"Otra (015)",713,7,309,230,61,12,8,2,1,,83
"Ninguna (016)",142,1,57,51,12,5,,,,,16
