"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SULLANA (000)",5572,1395,4177
"Sin nivel (001)",292,31,261
"Educación inicial (002)",6,3,3
"Primaria (003)",1449,288,1161
"Secundaria (004)",2248,608,1640
"Superior no univ. incompleta (005)",336,100,236
"Superior no univ. completa (006)",657,179,478
"Superior univ. incompleta (007)",231,87,144
"Superior univ. completa (008)",353,99,254
"Hombres (010)",4128,864,3264
"Sin nivel (011)",254,24,230
"Educación inicial (012)",5,2,3
"Primaria (013)",1222,210,1012
"Secundaria (014)",1810,429,1381
"Superior no univ. incompleta (015)",195,45,150
"Superior no univ. completa (016)",297,61,236
"Superior univ. incompleta (017)",143,44,99
"Superior univ. completa (018)",202,49,153
"Mujeres (020)",1444,531,913
"Sin nivel (021)",38,7,31
"Educación inicial (022)",1,1,
"Primaria (023)",227,78,149
"Secundaria (024)",438,179,259
"Superior no univ. incompleta (025)",141,55,86
"Superior no univ. completa (026)",360,118,242
"Superior univ. incompleta (027)",88,43,45
"Superior univ. completa (028)",151,50,101
,,,
"AREA URBANA (030)",5052,1263,3789
"Sin nivel (031)",252,29,223
"Educación inicial (032)",5,3,2
"Primaria (033)",1157,210,947
"Secundaria (034)",2086,564,1522
"Superior no univ. incompleta (035)",331,99,232
"Superior no univ. completa (036)",646,173,473
"Superior univ. incompleta (037)",228,86,142
"Superior univ. completa (038)",347,99,248
"Hombres (040)",3675,758,2917
"Sin nivel (041)",218,22,196
"Educación inicial (042)",4,2,2
"Primaria (043)",963,150,813
"Secundaria (044)",1666,387,1279
"Superior no univ. incompleta (045)",192,45,147
"Superior no univ. completa (046)",294,59,235
"Superior univ. incompleta (047)",141,44,97
"Superior univ. completa (048)",197,49,148
"Mujeres (050)",1377,505,872
"Sin nivel (051)",34,7,27
"Educación inicial (052)",1,1,
"Primaria (053)",194,60,134
"Secundaria (054)",420,177,243
"Superior no univ. incompleta (055)",139,54,85
"Superior no univ. completa (056)",352,114,238
"Superior univ. incompleta (057)",87,42,45
"Superior univ. completa (058)",150,50,100
,,,
"AREA RURAL (060)",520,132,388
"Sin nivel (061)",40,2,38
"Educación inicial (062)",1,,1
"Primaria (063)",292,78,214
"Secundaria (064)",162,44,118
"Superior no univ. incompleta (065)",5,1,4
"Superior no univ. completa (066)",11,6,5
"Superior univ. incompleta (067)",3,1,2
"Superior univ. completa (068)",6,,6
"Hombres (070)",453,106,347
"Sin nivel (071)",36,2,34
"Educación inicial (072)",1,,1
"Primaria (073)",259,60,199
"Secundaria (074)",144,42,102
"Superior no univ. incompleta (075)",3,,3
"Superior no univ. completa (076)",3,2,1
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",5,,5
"Mujeres (080)",67,26,41
"Sin nivel (081)",4,,4
"Primaria (083)",33,18,15
"Secundaria (084)",18,2,16
"Superior no univ. incompleta (085)",2,1,1
"Superior no univ. completa (086)",8,4,4
"Superior univ. incompleta (087)",1,1,
"Superior univ. completa (088)",1,,1
